"Time","FT401","Pel_S400","Pth_S400","TT401","TT402"
2026-06-11 00:30:15,2.54,30.7,29.3,60.8,70.8
2026-06-11 00:30:30,2.55,34.9,29.2,60.8,70.7
2026-06-11 00:30:45,2.54,31.8,29.1,60.9,70.7
2026-06-11 00:31:00,2.53,34.8,28.8,60.8,70.7
2026-06-11 00:31:15,2.53,33.6,28.7,60.8,70.7
2026-06-11 00:31:30,2.55,34.6,28.8,60.9,70.6
2026-06-11 00:31:45,2.54,36.4,28.5,60.9,70.6
2026-06-11 00:32:00,2.51,30.6,28.2,60.9,70.5
2026-06-11 00:32:15,2.50,30.8,28.2,60.8,70.5
2026-06-11 00:32:30,2.52,37.4,28.5,60.7,70.5
2026-06-11 00:32:45,2.51,34.4,28.5,60.7,70.5
2026-06-11 00:33:00,2.52,34.5,28.7,60.6,70.4
2026-06-11 00:33:15,2.50,33.0,28.6,60.6,70.4
2026-06-11 00:33:30,2.54,28.9,28.9,60.6,70.4
2026-06-11 00:33:45,2.53,34.3,28.7,60.6,70.3
2026-06-11 00:34:00,2.56,31.3,28.7,60.6,70.3
2026-06-11 00:34:15,2.55,35.2,28.7,60.5,70.2
2026-06-11 00:34:30,2.57,27.3,28.9,60.5,70.2
2026-06-11 00:34:45,2.58,36.7,29.1,60.5,70.2
2026-06-11 00:35:00,2.57,38.6,29.0,60.4,70.1
2026-06-11 00:35:15,2.63,40.7,29.3,60.4,70.0
2026-06-11 00:35:30,2.62,28.8,29.3,60.4,70.0
2026-06-11 00:35:45,2.62,29.6,29.3,60.3,70.0
2026-06-11 00:36:00,2.65,40.3,29.3,60.3,69.9
2026-06-11 00:36:15,2.69,31.0,29.5,60.4,69.8
2026-06-11 00:36:30,2.70,35.8,29.4,60.4,69.8
2026-06-11 00:36:45,2.72,33.3,29.3,60.4,69.7
2026-06-11 00:37:00,2.73,39.4,29.0,60.5,69.6
2026-06-11 00:37:15,2.75,34.3,28.9,60.5,69.6
2026-06-11 00:37:30,2.78,32.8,28.8,60.6,69.5
2026-06-11 00:37:45,2.78,33.8,28.5,60.6,69.5
2026-06-11 00:38:00,2.79,36.5,28.2,60.7,69.4
2026-06-11 00:38:15,2.83,33.4,28.3,60.7,69.3
2026-06-11 00:38:30,2.81,33.1,28.0,60.7,69.3
2026-06-11 00:38:45,2.84,34.1,28.0,60.7,69.2
2026-06-11 00:39:00,2.86,32.8,28.1,60.8,69.3
2026-06-11 00:39:15,2.87,35.3,28.1,60.7,69.2
2026-06-11 00:39:30,2.88,32.9,28.0,60.8,69.2
2026-06-11 00:39:45,2.89,36.8,28.1,60.8,69.2
2026-06-11 00:40:00,2.89,34.6,28.1,60.8,69.1
2026-06-11 00:40:15,2.89,39.9,28.0,60.8,69.1
2026-06-11 00:40:30,2.90,39.3,27.9,60.8,69.1
2026-06-11 00:40:45,2.92,36.4,28.0,60.9,69.2
2026-06-11 00:41:00,2.92,28.3,27.8,60.9,69.1
2026-06-11 00:41:15,2.92,29.5,27.8,60.9,69.2
2026-06-11 00:41:30,2.96,34.4,28.1,60.9,69.1
2026-06-11 00:41:45,2.95,34.0,28.1,60.9,69.2
2026-06-11 00:42:00,2.95,31.4,28.1,61.0,69.2
2026-06-11 00:42:15,2.94,39.7,27.9,61.0,69.2
2026-06-11 00:42:30,2.96,32.1,28.1,61.0,69.2
2026-06-11 00:42:45,2.96,40.0,28.1,61.0,69.2
2026-06-11 00:43:00,2.95,30.3,28.0,61.0,69.2
2026-06-11 00:43:15,2.96,42.6,28.0,61.0,69.2
2026-06-11 00:43:30,2.95,34.0,27.9,61.0,69.2
2026-06-11 00:43:45,2.95,28.3,27.9,61.0,69.1
2026-06-11 00:44:00,2.94,30.1,27.9,61.0,69.2
2026-06-11 00:44:15,2.94,31.8,28.0,61.0,69.2
2026-06-11 00:44:30,2.94,33.7,27.8,61.0,69.2
2026-06-11 00:44:45,2.94,35.5,28.0,61.0,69.1
2026-06-11 00:45:00,2.94,35.6,27.8,61.0,69.2
2026-06-11 00:45:15,2.93,30.4,27.8,61.0,69.1
2026-06-11 00:45:30,2.94,32.7,28.0,61.0,69.2
2026-06-11 00:45:45,2.93,39.1,27.9,61.0,69.2
2026-06-11 00:46:00,2.95,30.2,28.2,60.9,69.2
2026-06-11 00:46:15,2.91,29.5,28.1,60.9,69.2
2026-06-11 00:46:30,2.90,34.3,27.9,60.9,69.2
2026-06-11 00:46:45,2.91,32.3,28.0,60.9,69.2
2026-06-11 00:47:00,2.90,37.7,28.0,60.9,69.3
2026-06-11 00:47:15,2.90,31.4,28.2,60.8,69.2
2026-06-11 00:47:30,2.89,33.2,28.3,60.7,69.2
2026-06-11 00:47:45,2.89,31.5,28.6,60.7,69.2
2026-06-11 00:48:00,2.87,39.7,28.5,60.6,69.2
2026-06-11 00:48:15,2.87,33.3,28.6,60.6,69.1
2026-06-11 00:48:30,2.89,34.6,28.7,60.6,69.2
2026-06-11 00:48:45,2.88,43.2,28.6,60.7,69.2
2026-06-11 00:49:00,2.88,33.0,28.4,60.7,69.2
2026-06-11 00:49:15,2.87,34.8,28.3,60.7,69.2
2026-06-11 00:49:30,2.89,36.3,28.5,60.7,69.2
2026-06-11 00:49:45,2.88,33.4,28.4,60.7,69.2
2026-06-11 00:50:00,2.89,43.2,28.5,60.7,69.3
2026-06-11 00:50:15,2.88,40.6,28.3,60.7,69.2
2026-06-11 00:50:30,2.90,34.1,28.2,60.8,69.2
2026-06-11 00:50:45,2.89,36.6,28.0,60.8,69.1
2026-06-11 00:51:00,2.89,32.0,27.8,60.8,69.2
2026-06-11 00:51:15,2.90,33.6,27.8,60.8,69.1
2026-06-11 00:51:30,2.91,36.1,27.8,60.9,69.2
2026-06-11 00:51:45,2.90,38.8,27.7,60.8,69.1
2026-06-11 00:52:00,2.91,35.1,27.9,60.8,69.1
2026-06-11 00:52:15,2.90,39.3,27.9,60.8,69.1
2026-06-11 00:52:30,2.89,36.3,27.9,60.8,69.1
2026-06-11 00:52:45,2.90,36.5,28.1,60.8,69.2
