"Time","FT101","FT101_set","FT201","FT201_set","FT301","FT301_set","FT302","FT401","FT401_set","FT501","FT601","FT602","FT701","FT711","FT721","FT731","FT801","FT901","FTA12","FTR01","FTR03","QgasCHP"
2026-06-11 00:30:30,6.79,6.80,0.836,0.851,0,0,0,2.54,0.0218,0.0216,0.00439,0,2.11,2.24,2.29,2.31,6.06,9.11,0.313,23.4,17.0,0
2026-06-11 00:31:00,6.72,6.71,0.853,0.857,0,0,0,2.53,0.0215,0.0216,0.00461,0,2.11,2.16,2.30,2.28,5.90,9.03,0.322,23.4,17.1,0
2026-06-11 00:31:30,6.71,6.71,0.846,0.857,0,0,0,2.54,0.0218,0.0211,0.00425,0,2.07,2.19,2.30,2.29,5.66,9.02,0.343,23.2,17.4,0
2026-06-11 00:32:00,6.64,6.62,0.841,0.852,0,0,0,2.52,0.0218,0.0215,0.00483,0,2.06,2.16,2.31,2.24,5.64,8.94,0.315,23.0,17.6,0
2026-06-11 00:32:30,6.58,6.58,0.844,0.851,0,0,0,2.51,0.0218,0.0216,0.00439,0,2.07,2.16,2.22,2.23,5.64,8.87,0.343,22.9,17.6,0
2026-06-11 00:33:00,6.63,6.62,0.849,0.846,0,0,0,2.51,0.0221,0.0217,0.00401,0,2.09,2.17,2.26,2.25,5.78,8.94,0.364,22.8,17.8,0
2026-06-11 00:33:30,6.65,6.63,0.860,0.857,0,0,0,2.52,0.0214,0.0214,0.00450,0,2.10,2.19,2.24,2.24,5.83,8.94,0.238,22.6,17.9,0
2026-06-11 00:34:00,6.76,6.75,0.845,0.847,0,0,0,2.54,0.0213,0.0216,0.00416,0,2.14,2.22,2.27,2.28,5.88,9.08,0.346,22.5,18.1,0
2026-06-11 00:34:30,6.87,6.88,0.845,0.844,0,0,0,2.56,0.0214,0.0218,0.00470,0,2.20,2.26,2.31,2.29,5.94,9.22,0.355,22.4,18.2,0
2026-06-11 00:35:00,6.95,6.95,0.854,0.843,0,0,0,2.58,0.0214,0.0216,0.00432,0,2.22,2.31,2.31,2.31,6.03,9.29,0.346,22.3,18.2,0
2026-06-11 00:35:30,7.12,7.12,0.838,0.848,0,0,0,2.62,0.0218,0.0216,0.00443,0,2.26,2.35,2.37,2.39,6.16,9.49,0.389,22.3,18.3,0
2026-06-11 00:36:00,7.25,7.24,0.845,0.847,0,0,0,2.64,0.0218,0.0216,0.00425,0,2.31,2.35,2.41,2.45,6.29,9.63,0.344,22.2,18.2,0
2026-06-11 00:36:30,7.46,7.45,0.852,0.847,0,0,0,2.70,0.0214,0.0212,0.00454,0,2.39,2.43,2.47,2.49,6.42,9.88,0.319,22.2,18.3,0
2026-06-11 00:37:00,7.63,7.63,0.847,0.847,0,0,0,2.72,0.0215,0.0216,0.00416,0,2.41,2.48,2.53,2.57,6.57,10.1,0.344,22.4,18.2,0
2026-06-11 00:37:30,7.82,7.81,0.850,0.850,0,0,0,2.76,0.0216,0.0218,0.00436,0,2.48,2.51,2.59,2.64,6.65,10.3,0.393,22.4,18.2,0
2026-06-11 00:38:00,7.93,7.92,0.850,0.842,0,0,0,2.79,0.0213,0.0216,0.00434,0,2.51,2.57,2.62,2.67,6.71,10.4,0.421,22.5,18.1,0
2026-06-11 00:38:30,8.04,8.04,0.851,0.852,0,0,0,2.82,0.0214,0.0216,0.00423,0,2.50,2.60,2.68,2.74,6.80,10.6,0.360,22.5,18.1,0
2026-06-11 00:39:00,8.23,8.22,0.846,0.848,0,0,0,2.85,0.0216,0.0218,0.00403,0,2.58,2.67,2.73,2.76,6.82,10.8,0.348,22.5,18.0,0
2026-06-11 00:39:30,8.33,8.33,0.852,0.847,0,0,0,2.87,0.0217,0.0216,0.00466,0,2.60,2.68,2.75,2.82,6.85,10.9,0.357,22.5,18.0,0
2026-06-11 00:40:00,8.38,8.37,0.860,0.843,0,0,0,2.89,0.0215,0.0218,0.00430,0,2.60,2.74,2.76,2.83,6.88,10.9,0.361,22.6,18.0,0
2026-06-11 00:40:30,8.47,8.47,0.853,0.850,0,0,0,2.90,0.0216,0.0222,0.00403,0,2.59,2.75,2.82,2.86,6.92,11.0,0.375,22.6,17.9,0
2026-06-11 00:41:00,8.53,8.53,0.847,0.855,0,0,0,2.92,0.0216,0.0219,0.00443,0,2.66,2.74,2.81,2.89,6.97,11.1,0.354,22.7,17.8,0
2026-06-11 00:41:30,8.63,8.63,0.857,0.854,0,0,0,2.94,0.0216,0.0212,0.00421,0,2.66,2.80,2.85,2.93,7.01,11.2,0.359,22.8,17.8,0
2026-06-11 00:42:00,8.68,8.69,0.858,0.847,0,0,0,2.95,0.0220,0.0213,0.00383,0,2.64,2.82,2.86,2.97,6.98,11.3,0.241,22.9,17.7,0
2026-06-11 00:42:30,8.67,8.67,0.849,0.855,0,0,0,2.95,0.0214,0.0216,0.00419,0,2.64,2.82,2.86,2.95,6.97,11.3,0.276,23.0,17.6,0
2026-06-11 00:43:00,8.69,8.68,0.861,0.852,0,0,0,2.95,0.0216,0.0217,0.00403,0,2.65,2.82,2.86,2.97,6.97,11.3,0.319,23.0,17.5,0
2026-06-11 00:43:30,8.70,8.71,0.840,0.850,0,0,0,2.95,0.0215,0.0213,0.00434,0,2.65,2.82,2.87,2.96,6.96,11.3,0.284,23.1,17.5,0
2026-06-11 00:44:00,8.69,8.69,0.850,0.852,0,0,0,2.95,0.0219,0.0216,0.00419,0,2.65,2.82,2.85,2.98,6.99,11.3,0.178,23.2,17.4,0
2026-06-11 00:44:30,8.64,8.63,0.843,0.857,0,0,0,2.94,0.0214,0.0214,0.00385,0,2.64,2.82,2.83,2.94,7.00,11.2,0.290,23.2,17.4,0
2026-06-11 00:45:00,8.67,8.67,0.853,0.851,0,0,0,2.94,0.0214,0.0216,0.00419,0,2.63,2.82,2.86,2.95,6.99,11.3,0.344,23.2,17.4,0
2026-06-11 00:45:30,8.62,8.62,0.863,0.860,0,0,0,2.94,0.0217,0.0214,0.00421,0,2.64,2.79,2.84,2.95,6.95,11.2,0.331,23.2,17.3,0
2026-06-11 00:46:00,8.59,8.59,0.865,0.851,0,0,0,2.94,0.0212,0.0214,0.00419,0,2.63,2.78,2.82,2.95,6.92,11.2,0.285,23.2,17.3,0
2026-06-11 00:46:30,8.51,8.52,0.855,0.856,0,0,0,2.90,0.0217,0.0214,0.00441,0,2.63,2.76,2.79,2.90,6.90,11.1,0.353,23.1,17.3,0
2026-06-11 00:47:00,8.47,8.46,0.851,0.846,0,0,0,2.90,0.0210,0.0211,0.00421,0,2.61,2.73,2.80,2.88,6.91,11.0,0.238,22.9,17.6,0
2026-06-11 00:47:30,8.42,8.42,0.852,0.855,0,0,0,2.89,0.0217,0.0213,0.00425,0,2.57,2.74,2.77,2.88,6.92,11.0,0.297,22.9,17.7,0
