"Time","FT701","FT711","FT721","FT731","Power701","Power711","Power721","Power731","PsetPoint_701","PsetPoint_711","PsetPoint_721","PsetPoint_731","TT701","TT702","TT711","TT712","TT721","TT722","TT731","TT732","TsetPoint_701","TsetPoint_711","TsetPoint_721","TsetPoint_731","xPset_701","xPset_711","xPset_721","xPset_731","xTset_701","xTset_711","xTset_721","xTset_731"
2026-05-13 17:30:15,2.41,2.58,2.49,2.51,-32.4,-32.9,-32.1,-32.8,-32,-32,-32,-32,59.5,71.2,59.7,70.7,59.7,70.8,59.7,71.0,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-13 17:30:30,2.40,2.55,2.49,2.52,-32.1,-32.6,-32.1,-32.8,-32,-32,-32,-32,59.6,71.1,59.7,70.6,59.7,70.8,59.8,71.0,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-13 17:30:45,2.40,2.50,2.49,2.51,-31.9,-31.8,-31.9,-32.6,-32,-32,-32,-32,59.6,71.1,59.8,70.6,59.7,70.8,59.8,71.0,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-13 17:31:00,2.40,2.51,2.49,2.50,-31.6,-31.6,-31.8,-32.2,-32,-32,-32,-32,59.7,71.0,59.7,70.6,59.8,70.7,59.8,70.9,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-13 17:31:15,2.41,2.51,2.50,2.47,-31.3,-31.6,-31.7,-31.6,-32,-32,-32,-32,59.8,71.0,59.8,70.6,59.8,70.7,59.9,70.9,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-13 17:31:30,2.45,2.51,2.49,2.44,-31.6,-31.5,-31.5,-30.9,-32,-32,-32,-32,59.9,71.0,59.8,70.6,59.8,70.7,60.0,70.8,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-13 17:31:45,2.43,2.57,2.52,2.51,-31.4,-32.0,-31.5,-31.4,-32,-32,-32,-32,59.9,71.0,59.8,70.5,59.9,70.7,60.0,70.8,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-13 17:32:00,2.42,2.52,2.51,2.50,-30.9,-31.3,-31.5,-31.6,-32,-32,-32,-32,60.1,71.0,59.9,70.5,59.9,70.7,60.0,70.8,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-13 17:32:15,2.47,2.56,2.54,2.51,-31.5,-31.6,-31.5,-31.2,-32,-32,-32,-32,60.1,71.1,59.9,70.6,60.0,70.6,60.0,70.8,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-13 17:32:30,2.46,2.55,2.51,2.55,-31.1,-31.3,-31.3,-31.6,-32,-32,-32,-32,60.1,71.1,60.0,70.5,60.0,70.7,60.1,70.8,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-13 17:32:45,2.50,2.57,2.57,2.54,-31.5,-31.5,-31.6,-31.4,-32,-32,-32,-32,60.2,71.1,60.0,70.6,60.1,70.7,60.1,70.8,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-13 17:33:00,2.50,2.59,2.56,2.55,-31.7,-31.3,-31.4,-31.4,-32,-32,-32,-32,60.1,71.1,60.1,70.6,60.1,70.6,60.2,70.8,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-13 17:33:15,2.49,2.58,2.54,2.56,-31.7,-31.3,-31.2,-31.7,-32,-32,-32,-32,60.2,71.2,60.1,70.6,60.1,70.7,60.1,70.8,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-13 17:33:30,2.49,2.61,2.59,2.55,-31.9,-31.7,-31.6,-31.7,-32,-32,-32,-32,60.2,71.2,60.1,70.7,60.2,70.7,60.1,70.9,-60,-60,-60,-60,2,2,2,2,true,true,true,true
