"Time","T2","T3","TT101","TT102","TT102_set","TT201","TT202","TT203","TT204","TT205","TT206","TT207","TT208","TT209","TT210","TT301","TT302","TT302_set","TT303","TT304","TT305","TT306","TT307","TT401","TT402","TT402_set","TT501","TT502","TT503","TT504","TT601","TT602","TT603","TT604","TT605","TT606","TT701","TT702","TT703","TT704","TT711","TT712","TT713","TT714","TT721","TT722","TT723","TT724","TT731","TT732","TT733","TT734","TT801","TT901","TT902","TTA01","TTR01","TTR02","TTR03","TTR04","TTR05","TgasCHP"
2026-05-13 17:30:30,26.6,26.3,59.5,71.0,70,22.5,21.0,25.8,52.9,53.0,53.1,22.9,53.7,53.8,53.8,19.3,20.9,0,18.6,18.2,18.8,19.1,19.5,60.3,69.2,70,24.0,27.7,26.4,26.6,30.5,21.1,23.5,19.3,24.4,22.2,59.5,71.1,12.2,30.1,59.7,70.7,12.3,33.0,59.7,70.8,12.6,32.0,59.7,71.0,13.9,33.4,20.7,59.9,71.5,56.0,16.5,13.0,31.8,32.2,31.3,22.9
2026-05-13 17:31:00,26.6,26.3,59.4,71.0,70,22.5,21.0,25.8,52.8,52.9,53.1,22.8,53.7,53.8,53.8,19.3,20.9,0,18.6,18.3,18.8,19.1,19.5,60.2,69.3,70,24.0,27.6,26.4,26.6,30.5,21.1,23.5,19.3,24.4,22.2,59.6,71.1,12.4,30.6,59.7,70.6,12.4,33.2,59.8,70.8,12.7,32.1,59.8,71.0,13.6,33.4,20.7,59.8,71.4,56.0,16.3,12.8,31.8,32.5,31.2,22.9
2026-05-13 17:31:30,26.6,26.3,59.3,71.0,70,22.5,21.1,25.8,52.8,53.0,53.1,22.9,53.7,53.8,53.8,19.3,20.9,0,18.6,18.3,18.8,19.1,19.5,60.0,69.3,70,23.9,27.6,26.4,26.6,30.5,21.1,23.5,19.3,24.4,22.2,59.8,71.0,12.5,31.0,59.8,70.6,12.6,33.5,59.8,70.7,12.8,32.3,59.9,70.9,13.4,33.7,20.7,59.9,71.5,56.0,16.2,12.7,32.2,32.9,31.2,22.9
2026-05-13 17:32:00,26.7,26.3,59.2,71.1,70,22.5,21.0,25.8,52.8,53.0,53.1,22.8,53.6,53.8,53.8,19.3,20.9,0,18.6,18.3,18.8,19.1,19.5,60.1,69.3,70,23.9,27.6,26.4,26.6,30.4,21.1,23.5,19.3,24.4,22.2,60.0,71.0,12.7,31.3,59.8,70.5,12.7,33.8,59.9,70.7,12.9,32.5,60.0,70.8,13.3,33.8,20.7,60.0,71.5,56.1,16.2,12.6,32.5,33.3,31.2,22.8
2026-05-13 17:32:30,26.7,26.3,59.2,71.2,70,22.6,21.1,25.8,52.9,53.0,53.1,22.9,53.7,53.8,53.8,19.3,20.9,0,18.6,18.3,18.8,19.1,19.5,60.1,69.3,70,23.9,27.6,26.4,26.6,30.4,21.2,23.5,19.3,24.4,22.2,60.1,71.1,12.8,31.5,59.9,70.6,12.8,34.0,60.0,70.6,12.9,32.7,60.1,70.8,13.3,33.9,20.7,60.0,71.5,56.2,16.3,12.6,32.8,33.5,31.2,23.0
2026-05-13 17:33:00,26.7,26.3,59.3,71.1,70,22.6,21.1,25.8,52.9,53.0,53.1,22.9,53.7,53.8,53.8,19.3,20.9,0,18.6,18.3,18.8,19.1,19.5,60.2,69.3,70,23.9,27.6,26.4,26.7,30.4,21.2,23.4,19.3,24.4,22.2,60.2,71.1,12.9,31.5,60.1,70.6,12.9,34.3,60.1,70.7,13.0,32.9,60.1,70.8,13.2,34.0,20.7,60.1,71.5,56.2,16.4,12.6,32.9,33.8,31.2,22.9
2026-05-13 17:33:30,26.7,26.3,59.4,71.0,70,22.6,21.1,25.8,52.9,53.0,53.1,22.8,53.6,53.8,53.8,19.3,20.9,0,18.6,18.3,18.8,19.1,19.5,60.3,69.3,70,23.9,27.6,26.4,26.6,30.4,21.2,23.5,19.3,24.4,22.2,60.2,71.2,13.0,31.3,60.1,70.6,13.0,34.4,60.2,70.7,13.1,33.0,60.1,70.8,13.3,33.9,20.7,60.2,71.6,56.3,16.7,12.7,32.8,33.8,31.2,22.8
2026-05-13 17:34:00,26.7,26.4,59.5,70.9,70,22.6,21.1,25.9,52.9,53.0,53.1,22.9,53.6,53.8,53.9,19.3,20.9,0,18.6,18.3,18.8,19.1,19.5,60.4,69.3,70,23.8,27.5,26.4,26.7,30.4,21.2,23.5,19.3,24.4,22.2,60.1,71.2,13.1,31.1,60.2,70.6,13.1,34.3,60.1,70.8,13.2,32.9,60.1,70.9,13.3,33.8,20.7,60.3,71.5,56.4,17.0,12.9,32.7,33.7,31.2,22.9
2026-05-13 17:34:30,26.8,26.4,59.6,70.8,70,22.6,21.0,25.8,52.9,53.0,53.1,22.8,53.6,53.8,53.9,19.3,20.9,0,18.6,18.3,18.8,19.1,19.5,60.4,69.2,70,23.8,27.5,26.4,26.6,30.4,21.2,23.5,19.3,24.4,22.2,60.0,71.1,13.3,31.0,60.1,70.6,13.4,34.3,60.1,70.8,13.4,32.9,60.0,70.9,13.4,33.7,20.7,60.3,71.4,56.4,17.3,13.0,32.5,33.5,31.2,22.9
2026-05-13 17:35:00,26.8,26.4,59.6,70.8,70,22.6,21.0,25.8,52.9,53.0,53.1,22.9,53.7,53.8,53.8,19.3,20.9,0,18.6,18.3,18.8,19.1,19.5,60.5,69.2,70,23.8,27.5,26.4,26.7,30.4,21.2,23.4,19.3,24.4,22.2,60.0,71.0,13.5,31.0,60.1,70.6,13.6,34.2,60.1,70.7,13.7,32.8,60.0,70.9,13.6,33.7,20.7,60.2,71.3,56.4,17.5,13.2,32.4,33.4,31.3,22.9
2026-05-13 17:35:30,26.8,26.4,59.6,70.9,70,22.6,21.0,25.8,52.9,53.0,53.1,22.9,53.7,53.8,53.8,19.3,20.9,0,18.6,18.3,18.8,19.1,19.5,60.4,69.2,70,23.8,27.5,26.4,26.6,30.3,21.2,23.5,19.3,24.4,22.2,59.9,70.9,13.8,31.1,60.0,70.5,13.8,34.2,60.0,70.7,13.8,32.7,59.9,70.9,13.7,33.6,20.7,60.2,71.3,56.3,17.7,13.4,32.4,33.3,31.2,22.9
2026-05-13 17:36:00,26.8,26.4,59.6,71.0,70,22.6,21.1,25.8,52.9,53.0,53.1,22.9,53.7,53.8,53.9,19.3,20.9,0,18.6,18.3,18.8,19.1,19.5,60.4,69.2,70,23.8,27.5,26.5,26.6,30.3,21.2,23.4,19.3,24.4,22.2,59.9,70.9,13.9,31.4,59.9,70.4,13.9,34.2,59.9,70.6,14.0,32.7,59.9,70.8,13.9,33.7,20.7,60.1,71.3,56.3,17.8,13.6,32.5,33.4,31.2,22.9
