"Time","FT401","Pel_S400","Pth_S400","TT401","TT402"
2026-05-14 09:00:15,2.96,41.1,27.8,60.1,68.2
2026-05-14 09:00:30,2.96,39.1,27.7,60.2,68.2
2026-05-14 09:00:45,2.95,41.4,27.6,60.2,68.3
2026-05-14 09:01:00,2.96,35.6,27.6,60.3,68.3
2026-05-14 09:01:15,2.97,39.0,27.7,60.3,68.3
2026-05-14 09:01:30,2.97,35.8,27.7,60.3,68.4
2026-05-14 09:01:45,2.97,29.2,27.8,60.3,68.4
2026-05-14 09:02:00,2.98,34.5,28.0,60.3,68.4
2026-05-14 09:02:15,2.96,38.0,28.0,60.3,68.5
2026-05-14 09:02:30,2.98,37.5,28.3,60.3,68.5
2026-05-14 09:02:45,2.98,38.8,28.6,60.2,68.5
2026-05-14 09:03:00,2.98,39.0,28.8,60.2,68.5
2026-05-14 09:03:15,2.97,31.7,28.6,60.2,68.5
2026-05-14 09:03:30,2.97,40.4,28.7,60.3,68.6
2026-05-14 09:03:45,2.97,41.1,28.6,60.3,68.6
2026-05-14 09:04:00,2.98,37.1,28.7,60.3,68.6
2026-05-14 09:04:15,2.97,32.7,28.5,60.3,68.6
2026-05-14 09:04:30,2.97,38.0,28.7,60.3,68.6
2026-05-14 09:04:45,2.97,34.2,28.6,60.3,68.6
2026-05-14 09:05:00,2.97,40.9,28.5,60.3,68.6
2026-05-14 09:05:15,2.96,31.1,28.6,60.3,68.6
2026-05-14 09:05:30,2.96,39.2,28.5,60.3,68.6
2026-05-14 09:05:45,2.97,37.9,28.5,60.3,68.6
2026-05-14 09:06:00,2.97,35.0,28.5,60.3,68.7
2026-05-14 09:06:15,2.97,37.3,28.6,60.3,68.6
2026-05-14 09:06:30,2.96,38.7,28.6,60.3,68.7
2026-05-14 09:06:45,2.95,35.7,28.5,60.3,68.6
2026-05-14 09:07:00,2.95,44.4,28.6,60.3,68.7
2026-05-14 09:07:15,2.95,44.5,28.6,60.3,68.7
2026-05-14 09:07:30,2.96,34.5,28.5,60.3,68.7
2026-05-14 09:07:45,2.95,31.0,28.6,60.3,68.7
2026-05-14 09:08:00,2.93,40.0,28.6,60.3,68.7
2026-05-14 09:08:15,2.94,28.9,28.8,60.3,68.7
2026-05-14 09:08:30,2.94,30.1,28.9,60.3,68.7
2026-05-14 09:08:45,2.93,37.1,28.8,60.3,68.8
2026-05-14 09:09:00,2.95,37.7,28.9,60.3,68.8
2026-05-14 09:09:15,2.93,36.3,28.9,60.3,68.8
2026-05-14 09:09:30,2.94,38.4,28.9,60.3,68.8
2026-05-14 09:09:45,2.93,39.7,28.9,60.3,68.8
2026-05-14 09:10:00,2.93,34.5,29.0,60.3,68.8
2026-05-14 09:10:15,2.93,35.8,29.0,60.3,68.8
2026-05-14 09:10:30,2.93,39.1,29.1,60.3,68.8
2026-05-14 09:10:45,2.93,36.4,29.2,60.2,68.8
2026-05-14 09:11:00,2.93,37.3,29.0,60.3,68.8
2026-05-14 09:11:15,2.93,35.3,29.1,60.3,68.8
2026-05-14 09:11:30,2.93,37.5,28.9,60.3,68.8
