"Time","FT101","FT101_set","FT201","FT201_set","FT301","FT301_set","FT302","FT401","FT401_set","FT501","FT601","FT602","FT701","FT711","FT721","FT731","FT801","FT901","FTA12","FTR01","FTR03","QgasCHP"
2026-05-14 09:00:30,8.00,8.00,0.940,0.932,0,0,0.0198,2.96,0.0185,0.0185,0.00269,0,2.56,2.73,2.65,2.67,6.99,10.7,0.379,28.6,20,0
2026-05-14 09:01:00,8.00,8.00,0.931,0.941,0,0,0.0204,2.96,0.0185,0.0181,0.00260,0,2.56,2.73,2.67,2.64,6.98,10.6,0.372,28.7,20,0
2026-05-14 09:01:30,8.07,8.06,0.932,0.936,0,0,0.0204,2.97,0.0185,0.0184,0.00264,0,2.57,2.75,2.70,2.67,6.98,10.7,0.343,28.7,20,0
2026-05-14 09:02:00,8.07,8.08,0.932,0.941,0,0,0.0200,2.97,0.0185,0.0186,0.00295,0,2.59,2.75,2.69,2.66,6.94,10.7,0.331,28.6,20,0
2026-05-14 09:02:30,8.05,8.04,0.936,0.933,0,0,0.0208,2.97,0.0182,0.0182,0.00269,0,2.57,2.74,2.68,2.65,6.90,10.7,0.425,28.6,20,0
2026-05-14 09:03:00,8.09,8.09,0.928,0.932,0,0,0.0205,2.98,0.0185,0.0189,0.00316,0,2.58,2.75,2.69,2.69,6.91,10.8,0.326,28.8,20,0
2026-05-14 09:03:30,8.07,8.08,0.936,0.932,0,0,0.0206,2.97,0.0186,0.0186,0.00289,0,2.58,2.77,2.67,2.67,6.92,10.7,0.310,28.8,20,0
2026-05-14 09:04:00,8.10,8.09,0.928,0.933,0,0,0.0207,2.98,0.0180,0.0185,0.00345,0,2.58,2.76,2.69,2.69,6.92,10.7,0.420,28.8,20,0
2026-05-14 09:04:30,8.07,8.08,0.936,0.928,0,0,0.0207,2.97,0.0183,0.0180,0.00284,0,2.57,2.76,2.68,2.69,6.92,10.7,0.379,28.9,20,0
2026-05-14 09:05:00,8.04,8.04,0.934,0.937,0,0,0.0207,2.97,0.0185,0.0188,0.00269,0,2.57,2.73,2.68,2.68,6.91,10.7,0.402,28.9,20,0
