"Time","FT701","FT711","FT721","FT731","Power701","Power711","Power721","Power731","PsetPoint_701","PsetPoint_711","PsetPoint_721","PsetPoint_731","TT701","TT702","TT711","TT712","TT721","TT722","TT731","TT732","TsetPoint_701","TsetPoint_711","TsetPoint_721","TsetPoint_731","xPset_701","xPset_711","xPset_721","xPset_731","xTset_701","xTset_711","xTset_721","xTset_731"
2026-05-14 09:00:15,2.56,2.73,2.64,2.68,-31.6,-31.7,-31.2,-31.8,-32,-32,-32,-32,60.0,70.6,60.0,69.9,60.0,70.2,60.0,70.3,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:00:30,2.55,2.74,2.67,2.66,-31.6,-31.4,-31.5,-31.7,-32,-32,-32,-32,60.0,70.7,60.0,69.9,60.0,70.2,60.0,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:00:45,2.58,2.73,2.66,2.65,-31.7,-31.6,-31.3,-31.7,-32,-32,-32,-32,60.0,70.7,59.9,69.9,60.1,70.2,59.9,70.3,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:01:00,2.55,2.73,2.68,2.63,-31.4,-31.7,-31.5,-31.7,-32,-32,-32,-32,60.0,70.6,59.9,69.9,60.0,70.2,59.9,70.3,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:01:15,2.59,2.74,2.72,2.64,-32.0,-31.8,-31.9,-31.7,-32,-32,-32,-32,60.0,70.7,59.9,69.9,60.0,70.2,59.9,70.3,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:01:30,2.55,2.75,2.68,2.69,-31.6,-32.0,-31.9,-32.2,-32,-32,-32,-32,60.0,70.7,59.9,69.9,60.0,70.2,59.9,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:01:45,2.60,2.73,2.68,2.67,-31.8,-31.8,-31.7,-32.0,-32,-32,-32,-32,60.0,70.7,59.9,69.9,59.9,70.2,59.9,70.3,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:02:00,2.58,2.76,2.70,2.66,-31.9,-32.0,-32.1,-31.8,-32,-32,-32,-32,60.1,70.7,59.9,69.9,59.9,70.2,59.9,70.3,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:02:15,2.57,2.72,2.68,2.65,-31.6,-31.7,-31.9,-31.6,-32,-32,-32,-32,60.1,70.7,60.0,70.0,59.9,70.2,60.0,70.3,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:02:30,2.58,2.77,2.68,2.66,-32.0,-31.7,-31.9,-31.1,-32,-32,-32,-32,60.1,70.7,60.0,70.0,60.0,70.2,60.1,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:02:45,2.59,2.76,2.71,2.67,-31.8,-31.6,-32.2,-31.5,-32,-32,-32,-32,60.1,70.7,60.1,70.0,60.0,70.2,60.1,70.3,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:03:00,2.58,2.75,2.68,2.72,-32.0,-31.7,-31.9,-32.1,-32,-32,-32,-32,60.1,70.8,60.1,70.0,59.9,70.2,60.1,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:03:15,2.60,2.76,2.67,2.65,-32.0,-31.7,-31.9,-31.5,-32,-32,-32,-32,60.1,70.8,60.1,70.1,60.0,70.2,60.1,70.3,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:03:30,2.57,2.78,2.68,2.70,-32.1,-32.0,-31.9,-31.9,-32,-32,-32,-32,60.1,70.8,60.1,70.0,60.0,70.3,60.1,70.4,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:03:45,2.60,2.75,2.70,2.68,-32.1,-31.9,-32.1,-31.9,-32,-32,-32,-32,60.1,70.8,60.1,70.0,60.0,70.3,60.1,70.3,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:04:00,2.56,2.76,2.68,2.71,-32.0,-32.2,-32.1,-32.0,-32,-32,-32,-32,60.1,70.8,60.1,70.1,60.0,70.3,60.1,70.4,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:04:15,2.58,2.75,2.66,2.67,-32.1,-31.9,-31.8,-32.0,-32,-32,-32,-32,60.1,70.9,60.1,70.1,60.0,70.3,60.1,70.4,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:04:30,2.56,2.76,2.70,2.71,-32.1,-32.1,-32.2,-32.0,-32,-32,-32,-32,60.1,70.9,60.1,70.1,60.0,70.3,60.1,70.4,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:04:45,2.56,2.71,2.69,2.68,-32.3,-31.7,-32.1,-32.0,-32,-32,-32,-32,60.1,70.9,60.1,70.1,60.1,70.3,60.1,70.4,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:05:00,2.57,2.75,2.66,2.67,-32.1,-31.8,-31.8,-32.0,-32,-32,-32,-32,60.0,70.9,60.1,70.1,60.1,70.4,60.1,70.4,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:05:15,2.55,2.77,2.67,2.68,-32.1,-32.3,-31.9,-32.2,-32,-32,-32,-32,60.0,70.9,60.1,70.2,60.1,70.4,60.1,70.4,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:05:30,2.56,2.74,2.66,2.65,-32.2,-32.1,-31.8,-32.0,-32,-32,-32,-32,60.0,70.9,60.1,70.2,60.1,70.4,60.1,70.4,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:05:45,2.55,2.75,2.68,2.65,-32.2,-32.3,-31.8,-31.9,-32,-32,-32,-32,60.0,70.9,60.0,70.2,60.2,70.4,60.0,70.4,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:06:00,2.56,2.74,2.68,2.66,-32.0,-32.1,-31.9,-32.2,-32,-32,-32,-32,60.0,70.9,60.0,70.2,60.1,70.4,60.1,70.5,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:06:15,2.54,2.73,2.67,2.69,-32.4,-32.3,-32.0,-32.2,-32,-32,-32,-32,60.0,70.9,60.0,70.2,60.1,70.4,60.1,70.5,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:06:30,2.55,2.72,2.67,2.67,-32.0,-32.1,-31.9,-32.3,-32,-32,-32,-32,60.0,70.9,60.0,70.1,60.1,70.4,60.0,70.5,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:06:45,2.53,2.71,2.69,2.62,-31.9,-31.9,-32.2,-31.8,-32,-32,-32,-32,60.0,70.9,60.0,70.2,60.1,70.4,60.1,70.5,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:07:00,2.54,2.72,2.69,2.64,-32.1,-32.1,-32.2,-32.2,-32,-32,-32,-32,60.0,70.9,60.0,70.2,60.1,70.4,60.0,70.5,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:07:15,2.53,2.71,2.66,2.67,-32.0,-32.1,-31.9,-32.3,-32,-32,-32,-32,60.0,70.9,60.0,70.2,60.1,70.5,60.0,70.5,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:07:30,2.55,2.73,2.68,2.62,-32.2,-32.2,-32.1,-31.9,-32,-32,-32,-32,60.0,70.9,60.0,70.2,60.1,70.4,60.1,70.5,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:07:45,2.49,2.71,2.67,2.67,-31.8,-32.2,-32.1,-32.4,-32,-32,-32,-32,60.0,71.0,60.0,70.2,60.1,70.4,60.0,70.5,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:08:00,2.51,2.69,2.66,2.62,-31.7,-31.9,-31.9,-31.9,-32,-32,-32,-32,60.0,71.0,60.0,70.2,60.1,70.5,60.0,70.5,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:08:15,2.53,2.71,2.66,2.63,-32.3,-31.8,-31.9,-32.1,-32,-32,-32,-32,60.0,71.0,60.1,70.2,60.1,70.5,60.0,70.6,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:08:30,2.52,2.68,2.69,2.64,-32.0,-31.6,-32.4,-32.5,-32,-32,-32,-32,60.0,71.0,60.1,70.3,60.1,70.5,60.0,70.6,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:08:45,2.51,2.70,2.64,2.64,-32.0,-31.7,-32.0,-32.4,-32,-32,-32,-32,60.0,70.9,60.1,70.3,60.1,70.5,60.0,70.6,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:09:00,2.53,2.73,2.68,2.60,-32.0,-32.0,-32.2,-31.8,-32,-32,-32,-32,60.0,71.0,60.1,70.2,60.1,70.5,60.0,70.6,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:09:15,2.51,2.71,2.64,2.60,-31.9,-31.8,-32.1,-32.3,-32,-32,-32,-32,60.0,70.9,60.1,70.2,60.0,70.5,60.0,70.6,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:09:30,2.50,2.72,2.65,2.61,-31.9,-32.0,-32.1,-32.1,-32,-32,-32,-32,60.0,70.9,60.1,70.2,60.0,70.5,59.9,70.6,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:09:45,2.52,2.71,2.64,2.60,-31.9,-32.0,-32.1,-31.9,-32,-32,-32,-32,59.9,70.9,60.0,70.2,60.0,70.5,60.0,70.6,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:10:00,2.51,2.69,2.63,2.60,-32.0,-31.9,-32.0,-31.8,-32,-32,-32,-32,59.9,70.9,60.0,70.2,60.0,70.5,60.1,70.5,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:10:15,2.51,2.71,2.63,2.60,-32.0,-32.0,-32.1,-31.6,-32,-32,-32,-32,59.9,70.9,60.0,70.2,59.9,70.4,60.1,70.6,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:10:30,2.52,2.71,2.64,2.59,-31.8,-32.0,-32.3,-31.4,-32,-32,-32,-32,59.9,70.9,60.0,70.2,59.9,70.5,60.1,70.6,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:10:45,2.51,2.70,2.63,2.65,-31.9,-32.0,-32.2,-32.0,-32,-32,-32,-32,59.9,70.9,60.0,70.2,59.9,70.4,60.1,70.5,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-14 09:11:00,2.55,2.72,2.64,2.59,-32.3,-32.1,-31.9,-31.3,-32,-32,-32,-32,59.9,70.9,60.0,70.1,59.9,70.4,60.1,70.5,-60,-60,-60,-60,2,2,2,2,true,true,true,true
