"Time","T2","T3","TT101","TT102","TT102_set","TT201","TT202","TT203","TT204","TT205","TT206","TT207","TT208","TT209","TT210","TT301","TT302","TT302_set","TT303","TT304","TT305","TT306","TT307","TT401","TT402","TT402_set","TT501","TT502","TT503","TT504","TT601","TT602","TT603","TT604","TT605","TT606","TT701","TT702","TT703","TT704","TT711","TT712","TT713","TT714","TT721","TT722","TT723","TT724","TT731","TT732","TT733","TT734","TT801","TT901","TT902","TTA01","TTR01","TTR02","TTR03","TTR04","TTR05","TgasCHP"
2026-05-14 09:00:30,23.1,22.7,59.4,70.6,70,16.9,16.4,25.6,52.9,54.2,54.3,22.7,52.2,54.1,54.1,16.6,17.9,0,16.0,15.5,17.5,15.2,15.6,60.1,68.2,70,17.9,17.8,22.6,22.8,17.6,15.8,17.9,16.5,17.3,16.8,60.0,70.6,13.1,32.2,60.0,69.9,13.1,35.2,60.0,70.2,12.8,33.1,60.0,70.3,13.3,33.9,18.1,60.4,70.9,56.5,16.7,12.6,33.4,34.3,30.7,16.6
2026-05-14 09:01:00,23.1,22.7,59.5,70.5,70,16.9,16.4,25.7,53.0,54.2,54.3,22.7,52.2,54.1,54.1,16.6,17.9,0,16.0,15.5,17.5,15.2,15.6,60.3,68.3,70,17.9,17.8,22.6,22.7,17.6,15.8,17.9,16.5,17.2,16.8,60.0,70.7,13.1,32.2,59.9,69.9,13.1,35.1,60.1,70.2,12.8,33.1,59.9,70.3,13.2,33.8,18.1,60.4,70.9,56.5,16.8,12.6,33.2,34.3,30.7,16.6
2026-05-14 09:01:30,23.1,22.7,59.5,70.6,70,16.9,16.4,25.6,53.0,54.2,54.2,22.7,52.3,54.1,54.1,16.7,17.9,0,16.0,15.5,17.5,15.2,15.5,60.3,68.3,70,17.9,17.8,22.6,22.7,17.6,15.9,17.9,16.5,17.3,16.8,60.0,70.7,13.1,32.2,59.9,69.9,13.2,35.0,60.0,70.2,12.9,33.0,59.9,70.2,13.2,33.7,18.0,60.5,70.9,56.6,16.9,12.7,33.1,34.1,30.7,16.6
2026-05-14 09:02:00,23.1,22.7,59.6,70.6,70,16.9,16.4,25.6,52.9,54.2,54.3,22.7,52.3,54.1,54.1,16.6,17.9,0,16.0,15.5,17.5,15.2,15.5,60.3,68.4,70,17.9,17.8,22.5,22.6,17.5,15.9,17.9,16.5,17.3,16.9,60.0,70.7,13.2,32.2,59.9,69.9,13.3,35.0,59.9,70.2,13.0,32.9,59.9,70.3,13.3,33.7,18.0,60.5,70.9,56.6,17.1,12.8,33.1,34.0,30.7,16.6
2026-05-14 09:02:30,23.1,22.7,59.6,70.6,70,16.9,16.4,25.6,52.9,54.1,54.3,22.7,52.2,54.1,54.1,16.6,17.9,0,16.1,15.5,17.5,15.2,15.6,60.3,68.5,70,17.9,17.8,22.5,22.6,17.6,15.9,17.9,16.5,17.3,16.8,60.1,70.7,13.2,32.2,60.0,70.0,13.3,35.2,60.0,70.2,13.1,32.9,60.0,70.2,13.3,33.9,18.0,60.5,71.0,56.6,17.1,12.8,33.2,34.0,30.7,16.6
2026-05-14 09:03:00,23.1,22.7,59.6,70.6,70,16.9,16.4,25.6,52.9,54.2,54.3,22.7,52.3,54.1,54.2,16.7,17.9,0,16.1,15.5,17.5,15.2,15.6,60.2,68.5,70,17.9,17.8,22.5,22.6,17.6,15.8,17.9,16.5,17.3,16.8,60.1,70.7,13.3,32.1,60.1,70.0,13.4,35.4,59.9,70.2,13.1,32.9,60.1,70.3,13.4,34.0,18.0,60.5,71.0,56.6,17.2,12.9,33.3,34.1,30.7,16.6
2026-05-14 09:03:30,23.1,22.7,59.6,70.6,70,16.9,16.4,25.7,52.9,54.2,54.3,22.7,52.3,54.1,54.1,16.7,17.9,0,16.0,15.5,17.5,15.2,15.6,60.2,68.6,70,17.9,17.9,22.5,22.5,17.6,15.8,17.9,16.5,17.3,16.9,60.1,70.8,13.3,32.1,60.1,70.0,13.4,35.2,60.0,70.2,13.1,32.9,60.1,70.3,13.4,33.9,18.0,60.5,71.0,56.6,17.3,12.9,33.2,34.0,30.7,16.8
2026-05-14 09:04:00,23.1,22.7,59.6,70.6,70,16.9,16.4,25.7,52.9,54.2,54.3,22.7,52.2,54.1,54.1,16.7,17.9,0,16.1,15.5,17.5,15.2,15.6,60.3,68.6,70,17.9,17.9,22.5,22.5,17.6,15.8,17.9,16.5,17.3,16.9,60.1,70.8,13.4,32.0,60.1,70.1,13.5,35.1,60.0,70.3,13.3,32.9,60.1,70.3,13.4,33.9,18.0,60.5,71.1,56.7,17.4,13.0,33.2,34.0,30.7,16.6
2026-05-14 09:04:30,23.1,22.7,59.7,70.6,70,16.9,16.4,25.7,52.9,54.1,54.3,22.7,52.2,54.1,54.1,16.7,17.9,0,16.0,15.5,17.5,15.2,15.6,60.3,68.6,70,17.9,17.9,22.4,22.5,17.6,15.9,17.9,16.5,17.3,16.9,60.1,70.9,13.5,31.9,60.1,70.1,13.5,35.1,60.0,70.3,13.4,33.0,60.1,70.4,13.5,33.9,17.9,60.5,71.1,56.7,17.6,13.2,33.1,34.0,30.7,16.7
2026-05-14 09:05:00,23.1,22.7,59.7,70.6,70,16.9,16.4,25.7,53.0,54.2,54.3,22.7,52.2,54.1,54.1,16.7,17.9,0,16.1,15.5,17.5,15.2,15.6,60.3,68.6,70,17.9,17.9,22.4,22.4,17.6,15.9,17.9,16.5,17.3,16.9,60.0,70.9,13.6,31.9,60.1,70.1,13.6,35.1,60.1,70.4,13.5,33.0,60.1,70.4,13.5,33.8,17.9,60.5,71.1,56.7,17.7,13.2,33.1,34.1,30.7,16.7
