"Time","FT101","FT101_set","FT201","FT201_set","FT301","FT301_set","FT302","FT401","FT401_set","FT501","FT601","FT602","FT701","FT711","FT721","FT731","FT801","FT901","FTA12","FTR01","FTR03","QgasCHP"
2026-05-17 13:00:30,9.83,9.84,0.793,0.799,0,0,0,3.00,0.0254,0.0254,0.0000224,0.000264,3.04,3.40,2.69,3.41,6.93,12.4,0.471,29.4,20,0
2026-05-17 13:01:00,9.98,9.99,0.797,0.789,0,0,0,3.01,0.0251,0.0250,0,0.000366,3.08,3.44,2.72,3.45,6.92,12.6,0.469,29.5,20,0
2026-05-17 13:01:30,10.0,10.0,0.794,0.791,0,0,0,3.00,0.0253,0.0253,0.0000448,0.000244,3.06,3.45,2.70,3.51,6.97,12.6,0.445,29.6,20,0
2026-05-17 13:02:00,9.99,10.00,0.792,0.788,0,0,0,3.00,0.0248,0.0252,0,0.000244,3.06,3.45,2.72,3.47,6.98,12.6,0.373,29.7,20,0
2026-05-17 13:02:30,9.97,9.96,0.787,0.788,0,0,0,3.00,0.0253,0.0254,0.0000671,0.000346,3.03,3.46,2.71,3.46,6.96,12.6,0.394,29.8,20,0
2026-05-17 13:03:00,9.96,9.97,0.787,0.786,0,0,0,3.01,0.0254,0.0253,0,0.0000610,3.04,3.45,2.72,3.46,7.00,12.5,0.424,29.8,20,0
2026-05-17 13:03:30,10.00,9.99,0.786,0.804,0,0,0,3.00,0.0253,0.0254,0,0.0000610,3.01,3.51,2.71,3.46,6.99,12.6,0.396,29.8,20,0
2026-05-17 13:04:00,9.89,9.89,0.795,0.783,0,0,0,2.99,0.0251,0.0257,0,0.0000407,3.02,3.43,2.69,3.45,6.96,12.5,0.396,29.8,20,0
2026-05-17 13:04:30,9.86,9.87,0.785,0.791,0,0,0,3.00,0.0256,0.0253,0,0.000102,3.01,3.43,2.70,3.43,7.05,12.5,0.426,29.8,20,0
2026-05-17 13:05:00,9.80,9.81,0.790,0.793,0,0,0,3.00,0.0250,0.0252,0,0.000285,3.01,3.43,2.68,3.38,7.06,12.4,0.436,29.6,20,0
