"Time","FT401","Pel_S400","Pth_S400","TT401","TT402"
2026-05-16 17:00:15,2.73,42.0,31.5,59.5,69.5
2026-05-16 17:00:30,2.74,42.9,31.7,59.5,69.6
2026-05-16 17:00:45,2.73,37.6,31.8,59.5,69.6
2026-05-16 17:01:00,2.75,35.7,31.7,59.6,69.5
2026-05-16 17:01:15,2.76,40.0,31.7,59.6,69.5
2026-05-16 17:01:30,2.75,38.1,31.6,59.6,69.5
2026-05-16 17:01:45,2.75,41.0,31.5,59.6,69.5
2026-05-16 17:02:00,2.76,34.3,31.5,59.6,69.5
2026-05-16 17:02:15,2.75,32.6,31.2,59.7,69.4
2026-05-16 17:02:30,2.77,36.1,31.2,59.7,69.4
2026-05-16 17:02:45,2.77,40.7,31.0,59.8,69.3
2026-05-16 17:03:00,2.77,37.6,30.7,59.8,69.4
2026-05-16 17:03:15,2.75,44.2,30.3,59.9,69.4
2026-05-16 17:03:30,2.76,45.2,30.4,59.9,69.4
2026-05-16 17:03:45,2.77,38.1,30.3,59.9,69.4
2026-05-16 17:04:00,2.77,38.6,30.3,59.9,69.3
2026-05-16 17:04:15,2.76,34.4,30.2,59.9,69.4
2026-05-16 17:04:30,2.76,43.0,30.2,59.9,69.4
2026-05-16 17:04:45,2.77,37.5,30.4,59.9,69.4
2026-05-16 17:05:00,2.77,40.6,30.6,59.8,69.4
2026-05-16 17:05:15,2.75,42.9,30.8,59.7,69.4
2026-05-16 17:05:30,2.75,39.1,31.3,59.6,69.4
2026-05-16 17:05:45,2.75,40.3,31.6,59.6,69.4
2026-05-16 17:06:00,2.78,31.0,32.1,59.5,69.5
2026-05-16 17:06:15,2.78,35.8,31.9,59.6,69.5
2026-05-16 17:06:30,2.77,38.4,31.9,59.6,69.5
2026-05-16 17:06:45,2.80,42.5,32.0,59.6,69.5
2026-05-16 17:07:00,2.77,40.2,31.7,59.6,69.5
2026-05-16 17:07:15,2.79,43.0,31.8,59.7,69.5
2026-05-16 17:07:30,2.77,34.6,31.4,59.7,69.5
2026-05-16 17:07:45,2.79,34.4,31.4,59.7,69.4
2026-05-16 17:08:00,2.79,36.4,31.1,59.8,69.4
2026-05-16 17:08:15,2.79,46.5,31.1,59.8,69.3
2026-05-16 17:08:30,2.79,37.3,30.6,59.9,69.4
2026-05-16 17:08:45,2.78,40.6,30.5,59.9,69.4
2026-05-16 17:09:00,2.79,43.7,30.3,60.0,69.4
2026-05-16 17:09:15,2.79,42.3,30.3,60.0,69.3
2026-05-16 17:09:30,2.79,44.7,30.3,60.0,69.3
2026-05-16 17:09:45,2.78,45.8,30.2,60.0,69.3
2026-05-16 17:10:00,2.76,38.8,30.1,59.9,69.4
2026-05-16 17:10:15,2.77,43.2,30.3,60.0,69.4
2026-05-16 17:10:30,2.77,32.9,30.4,59.9,69.3
2026-05-16 17:10:45,2.78,41.0,30.7,59.8,69.3
2026-05-16 17:11:00,2.77,32.9,30.9,59.7,69.4
2026-05-16 17:11:15,2.79,34.1,31.3,59.7,69.4
2026-05-16 17:11:30,2.78,38.1,31.6,59.6,69.5
2026-05-16 17:11:45,2.78,35.6,31.6,59.6,69.4
2026-05-16 17:12:00,2.78,38.9,31.8,59.7,69.4
2026-05-16 17:12:15,2.80,39.7,31.7,59.7,69.5
2026-05-16 17:12:30,2.80,44.7,31.8,59.7,69.5
2026-05-16 17:12:45,2.81,39.1,31.7,59.8,69.6
2026-05-16 17:13:00,2.81,40.9,31.6,59.8,69.5
2026-05-16 17:13:15,2.81,39.1,31.6,59.9,69.4
2026-05-16 17:13:30,2.82,36.4,31.4,59.9,69.4
2026-05-16 17:13:45,2.82,31.0,31.1,59.9,69.5
2026-05-16 17:14:00,2.80,39.4,30.9,60.0,69.5
2026-05-16 17:14:15,2.84,44.6,31.0,60.0,69.5
2026-05-16 17:14:30,2.82,41.1,30.8,60.0,69.4
2026-05-16 17:14:45,2.82,39.5,30.7,60.0,69.3
2026-05-16 17:15:00,2.82,33.2,30.6,60.0,69.4
2026-05-16 17:15:15,2.82,37.5,30.6,60.0,69.4
2026-05-16 17:15:30,2.81,39.2,30.5,60.0,69.4
2026-05-16 17:15:45,2.80,42.7,30.5,60.0,69.3
2026-05-16 17:16:00,2.80,35.5,30.6,59.9,69.4
2026-05-16 17:16:15,2.80,34.8,31.1,59.8,69.4
2026-05-16 17:16:30,2.80,37.4,31.3,59.7,69.5
2026-05-16 17:16:45,2.79,39.4,31.7,59.6,69.5
2026-05-16 17:17:00,2.81,35.0,31.9,59.6,69.4
2026-05-16 17:17:15,2.81,35.9,32.0,59.6,69.4
2026-05-16 17:17:30,2.81,28.8,32.1,59.6,69.5
2026-05-16 17:17:45,2.82,34.3,32.2,59.6,69.5
2026-05-16 17:18:00,2.82,43.3,32.0,59.7,69.5
2026-05-16 17:18:15,2.81,43.7,31.9,59.8,69.5
2026-05-16 17:18:30,2.82,33.0,31.7,59.8,69.5
2026-05-16 17:18:45,2.83,39.7,31.7,59.8,69.5
2026-05-16 17:19:00,2.83,44.9,31.4,59.9,69.5
2026-05-16 17:19:15,2.83,37.4,31.3,59.9,69.4
2026-05-16 17:19:30,2.83,39.6,31.0,59.9,69.4
2026-05-16 17:19:45,2.80,39.0,31.0,59.9,69.4
2026-05-16 17:20:00,2.82,34.3,30.9,59.9,69.4
2026-05-16 17:20:15,2.81,37.4,30.7,59.9,69.4
2026-05-16 17:20:30,2.81,45.0,30.7,59.9,69.4
2026-05-16 17:20:45,2.80,39.1,30.7,59.9,69.3
2026-05-16 17:21:00,2.78,43.3,30.8,59.9,69.4
2026-05-16 17:21:15,2.78,36.7,30.8,59.8,69.4
2026-05-16 17:21:30,2.79,31.0,31.1,59.7,69.4
2026-05-16 17:21:45,2.79,42.3,31.6,59.7,69.4
2026-05-16 17:22:00,2.80,38.7,31.9,59.6,69.4
2026-05-16 17:22:15,2.79,37.4,31.8,59.5,69.5
2026-05-16 17:22:30,2.80,38.7,32.0,59.6,69.5
2026-05-16 17:22:45,2.81,40.3,32.0,59.6,69.5
2026-05-16 17:23:00,2.80,41.2,32.0,59.6,69.4
2026-05-16 17:23:15,2.82,39.7,32.0,59.6,69.5
2026-05-16 17:23:30,2.81,40.6,32.0,59.7,69.6
2026-05-16 17:23:45,2.81,37.7,31.8,59.7,69.5
2026-05-16 17:24:00,2.82,38.7,31.7,59.8,69.4
2026-05-16 17:24:15,2.80,36.7,31.5,59.8,69.4
2026-05-16 17:24:30,2.82,37.6,31.5,59.7,69.4
2026-05-16 17:24:45,2.81,43.7,31.3,59.8,69.4
2026-05-16 17:25:00,2.82,40.0,31.2,59.8,69.3
2026-05-16 17:25:15,2.81,37.7,30.8,59.8,69.3
2026-05-16 17:25:30,2.80,33.1,30.7,59.8,69.3
2026-05-16 17:25:45,2.82,36.2,30.7,59.9,69.3
2026-05-16 17:26:00,2.79,43.6,30.8,59.9,69.3
2026-05-16 17:26:15,2.79,41.4,30.8,59.8,69.3
2026-05-16 17:26:30,2.78,40.2,31.0,59.7,69.3
2026-05-16 17:26:45,2.79,44.6,31.2,59.7,69.4
2026-05-16 17:27:00,2.80,37.2,31.5,59.6,69.4
2026-05-16 17:27:15,2.79,45.5,31.8,59.5,69.3
2026-05-16 17:27:30,2.80,41.8,31.9,59.6,69.4
2026-05-16 17:27:45,2.82,41.0,32.0,59.6,69.4
2026-05-16 17:28:00,2.80,42.2,31.9,59.6,69.4
2026-05-16 17:28:15,2.83,36.6,32.1,59.6,69.4
2026-05-16 17:28:30,2.85,43.3,32.1,59.6,69.4
2026-05-16 17:28:45,2.83,43.9,32.1,59.7,69.5
2026-05-16 17:29:00,2.83,36.0,31.9,59.7,69.4
2026-05-16 17:29:15,2.84,44.2,31.7,59.8,69.3
2026-05-16 17:29:30,2.84,41.4,31.5,59.8,69.4
2026-05-16 17:29:45,2.84,44.4,31.4,59.9,69.4
2026-05-16 17:30:00,2.86,33.7,31.3,59.9,69.4
2026-05-16 17:30:15,2.83,42.6,31.1,59.9,69.3
2026-05-16 17:30:30,2.84,37.4,31.0,59.9,69.3
2026-05-16 17:30:45,2.84,39.0,31.0,59.9,69.3
2026-05-16 17:31:00,3.98,40.8,40.3,59.9,69.3
2026-05-16 17:31:15,4.02,34.1,50.7,58.8,69.3
2026-05-16 17:31:30,2.84,38.8,39.1,57.3,69.2
2026-05-16 17:31:45,2.82,46.2,38.2,57.5,69.2
2026-05-16 17:32:00,2.83,37.7,36.8,57.9,69.1
2026-05-16 17:32:15,2.82,41.3,36.0,58.1,69.1
2026-05-16 17:32:30,2.81,45.0,35.4,58.2,69.0
2026-05-16 17:32:45,2.83,38.8,35.2,58.3,69.1
2026-05-16 17:33:00,2.81,43.5,34.8,58.4,69.1
2026-05-16 17:33:15,2.81,47.8,34.3,58.5,68.9
2026-05-16 17:33:30,2.84,42.6,33.9,58.6,68.9
2026-05-16 17:33:45,2.83,44.6,33.1,58.6,68.7
2026-05-16 17:34:00,2.84,48.3,32.4,58.7,68.6
2026-05-16 17:34:15,2.82,48.3,31.7,58.8,68.4
2026-05-16 17:34:30,2.85,45.1,31.2,58.8,68.3
2026-05-16 17:34:45,2.85,35.9,31.0,58.9,68.3
2026-05-16 17:35:00,2.85,37.2,30.7,59.0,68.3
2026-05-16 17:35:15,2.86,43.5,30.8,59.0,68.3
2026-05-16 17:35:30,2.84,35.7,30.6,59.1,68.4
2026-05-16 17:35:45,2.87,39.3,30.7,59.2,68.5
2026-05-16 17:36:00,2.85,46.5,30.7,59.3,68.5
2026-05-16 17:36:15,2.86,46.2,30.9,59.3,68.6
2026-05-16 17:36:30,2.86,42.3,31.2,59.3,68.7
2026-05-16 17:36:45,2.86,41.6,31.2,59.4,68.9
2026-05-16 17:37:00,2.86,40.8,31.7,59.4,69.0
2026-05-16 17:37:15,2.85,44.4,32.1,59.3,69.0
2026-05-16 17:37:30,2.84,39.0,32.4,59.3,69.1
2026-05-16 17:37:45,2.84,32.7,32.7,59.3,69.2
2026-05-16 17:38:00,2.82,40.7,32.8,59.3,69.4
2026-05-16 17:38:15,2.83,35.8,33.1,59.2,69.3
2026-05-16 17:38:30,2.81,29.5,33.2,59.2,69.3
2026-05-16 17:38:45,2.81,38.1,33.2,59.2,69.4
2026-05-16 17:39:00,2.80,30.4,33.0,59.2,69.4
2026-05-16 17:39:15,2.82,26.7,33.0,59.3,69.4
2026-05-16 17:39:30,2.80,33.2,32.7,59.3,69.3
2026-05-16 17:39:45,2.83,35.9,32.8,59.3,69.3
2026-05-16 17:40:00,2.85,39.7,32.5,59.4,69.3
2026-05-16 17:40:15,2.82,35.1,31.9,59.4,69.3
2026-05-16 17:40:30,2.83,32.4,31.5,59.5,69.1
2026-05-16 17:40:45,2.82,33.3,31.1,59.5,69.0
2026-05-16 17:41:00,2.83,35.1,30.7,59.6,69.0
2026-05-16 17:41:15,2.83,33.2,30.2,59.6,68.9
2026-05-16 17:41:30,2.86,33.9,30.1,59.6,68.7
2026-05-16 17:41:45,2.85,34.2,29.7,59.7,68.7
2026-05-16 17:42:00,2.87,37.5,29.5,59.7,68.6
2026-05-16 17:42:15,2.87,37.0,29.5,59.6,68.5
2026-05-16 17:42:30,2.89,29.1,29.5,59.6,68.4
2026-05-16 17:42:45,2.92,34.4,29.8,59.6,68.4
2026-05-16 17:43:00,2.92,32.5,29.8,59.5,68.4
2026-05-16 17:43:15,2.94,41.0,30.2,59.4,68.3
2026-05-16 17:43:30,2.96,35.1,30.4,59.4,68.3
2026-05-16 17:43:45,2.97,27.2,30.5,59.4,68.2
2026-05-16 17:44:00,3.01,33.3,30.8,59.3,68.2
2026-05-16 17:44:15,3.01,31.9,30.8,59.3,68.1
2026-05-16 17:44:30,3.01,37.0,30.6,59.3,68.0
2026-05-16 17:44:45,3.01,30.0,30.2,59.2,67.9
2026-05-16 17:45:00,3.01,29.2,29.8,59.3,67.8
2026-05-16 17:45:15,3.01,28.1,29.4,59.3,67.8
2026-05-16 17:45:30,3.02,28.5,29.1,59.3,67.6
2026-05-16 17:45:45,3.01,27.0,28.5,59.4,67.6
2026-05-16 17:46:00,3.00,30.4,27.9,59.5,67.5
2026-05-16 17:46:15,3.01,27.4,27.4,59.6,67.4
2026-05-16 17:46:30,3.01,27.1,26.9,59.6,67.3
2026-05-16 17:46:45,3.02,29.7,26.4,59.7,67.3
2026-05-16 17:47:00,3.01,31.2,26.0,59.8,67.2
2026-05-16 17:47:15,3.02,25.7,25.8,59.7,67.2
2026-05-16 17:47:30,3.00,28.0,25.6,59.7,67.1
2026-05-16 17:47:45,3.02,31.7,25.6,59.7,67.1
2026-05-16 17:48:00,3.00,34.5,25.4,59.7,67.1
2026-05-16 17:48:15,3.03,27.7,25.6,59.7,67.0
2026-05-16 17:48:30,3.01,32.7,25.6,59.7,67.0
2026-05-16 17:48:45,3.02,30.6,25.7,59.7,67.0
2026-05-16 17:49:00,3.01,31.4,25.6,59.7,67.1
2026-05-16 17:49:15,3.02,28.6,25.5,59.7,67.0
2026-05-16 17:49:30,3.02,29.0,25.4,59.7,67.0
2026-05-16 17:49:45,3.01,23.6,25.1,59.8,67.0
2026-05-16 17:50:00,3.02,26.7,24.7,59.9,67.0
2026-05-16 17:50:15,3.01,27.0,24.3,60.0,66.9
2026-05-16 17:50:30,3.00,27.9,23.9,60.1,66.9
2026-05-16 17:50:45,3.00,27.4,23.6,60.1,66.9
2026-05-16 17:51:00,3.01,26.8,23.5,60.1,66.9
2026-05-16 17:51:15,3.01,32.0,23.5,60.2,66.8
2026-05-16 17:51:30,3.01,29.2,23.5,60.1,66.8
2026-05-16 17:51:45,3.02,26.3,23.4,60.2,66.8
2026-05-16 17:52:00,3.04,33.2,23.5,60.1,66.8
2026-05-16 17:52:15,3.05,32.4,23.6,60.1,66.9
2026-05-16 17:52:30,3.06,27.4,23.8,60.1,66.8
2026-05-16 17:52:45,3.05,23.0,24.0,60.1,66.8
2026-05-16 17:53:00,3.08,29.3,24.2,60.0,66.9
2026-05-16 17:53:15,3.09,23.0,24.2,60.0,66.9
2026-05-16 17:53:30,3.09,25.2,24.3,60.1,66.9
2026-05-16 17:53:45,3.10,30.9,24.2,60.1,66.8
2026-05-16 17:54:00,3.10,26.7,24.1,60.1,66.8
2026-05-16 17:54:15,3.10,30.0,24.0,60.1,66.8
2026-05-16 17:54:30,3.11,25.0,23.8,60.1,66.8
2026-05-16 17:54:45,3.10,23.8,23.6,60.2,66.7
2026-05-16 17:55:00,3.11,24.9,23.4,60.2,66.6
2026-05-16 17:55:15,3.10,24.6,23.1,60.2,66.6
2026-05-16 17:55:30,3.11,28.5,23.0,60.2,66.6
2026-05-16 17:55:45,3.10,31.0,22.8,60.2,66.6
2026-05-16 17:56:00,3.10,25.9,22.8,60.2,66.5
2026-05-16 17:56:15,3.11,29.4,22.8,60.2,66.5
2026-05-16 17:56:30,3.11,25.6,22.8,60.2,66.5
2026-05-16 17:56:45,3.09,24.9,22.8,60.2,66.5
2026-05-16 17:57:00,3.09,27.5,22.8,60.1,66.5
2026-05-16 17:57:15,3.07,26.8,22.9,60.0,66.6
2026-05-16 17:57:30,3.07,26.3,23.1,60.0,66.5
2026-05-16 17:57:45,3.06,30.8,23.2,59.9,66.5
2026-05-16 17:58:00,3.06,28.8,23.3,59.9,66.4
2026-05-16 17:58:15,3.04,24.9,22.9,60.0,66.4
2026-05-16 17:58:30,3.04,24.6,22.7,60.0,66.4
2026-05-16 17:58:45,3.05,26.1,22.7,60.0,66.4
2026-05-16 17:59:00,3.05,25.6,22.5,60.1,66.4
2026-05-16 17:59:15,3.05,27.3,22.4,60.0,66.4
2026-05-16 17:59:30,3.07,25.9,22.2,60.1,66.4
2026-05-16 17:59:45,3.05,28.2,21.9,60.1,66.3
2026-05-16 18:00:00,3.06,29.3,21.8,60.1,66.2
2026-05-16 18:00:15,3.05,28.5,21.7,60.1,66.2
2026-05-16 18:00:30,3.05,29.2,21.7,60.1,66.1
2026-05-16 18:00:45,3.06,29.5,21.8,60.0,66.1
2026-05-16 18:01:00,3.06,27.7,21.9,60.0,66.1
2026-05-16 18:01:15,3.05,25.0,21.9,60.0,66.1
2026-05-16 18:01:30,3.07,23.3,21.9,60.0,66.1
2026-05-16 18:01:45,3.08,25.4,21.9,60.0,66.1
2026-05-16 18:02:00,3.09,26.0,22.0,60.0,66.0
2026-05-16 18:02:15,3.10,26.1,21.9,60.0,66.0
2026-05-16 18:02:30,3.09,25.8,21.9,60.0,66.0
2026-05-16 18:02:45,3.11,23.1,21.9,60.0,66.0
2026-05-16 18:03:00,3.11,30.4,21.9,60.0,66.0
2026-05-16 18:03:15,3.12,26.8,21.8,60.0,66.0
2026-05-16 18:03:30,3.12,26.8,21.8,60.0,66.0
2026-05-16 18:03:45,3.14,23.4,21.7,60.0,66.0
2026-05-16 18:04:00,3.13,28.8,21.6,60.0,66.0
2026-05-16 18:04:15,3.14,25.0,21.5,60.1,66.0
2026-05-16 18:04:30,3.14,25.8,21.4,60.1,66.0
2026-05-16 18:04:45,3.14,27.8,21.3,60.1,65.9
2026-05-16 18:05:00,3.13,24.7,21.1,60.1,65.9
2026-05-16 18:05:15,3.13,26.8,20.9,60.2,65.9
2026-05-16 18:05:30,3.14,26.1,20.9,60.1,65.9
2026-05-16 18:05:45,3.13,26.9,21.1,60.1,65.8
2026-05-16 18:06:00,3.13,25.8,21.3,60.0,65.8
2026-05-16 18:06:15,3.13,26.5,21.4,59.9,65.9
2026-05-16 18:06:30,3.13,32.1,21.5,59.9,65.9
2026-05-16 18:06:45,3.12,23.3,21.6,59.9,65.9
2026-05-16 18:07:00,3.12,30.3,21.5,59.9,65.9
2026-05-16 18:07:15,3.13,26.1,21.4,60.0,65.9
2026-05-16 18:07:30,3.14,25.8,21.3,60.0,65.9
2026-05-16 18:07:45,3.13,37.7,21.3,60.1,65.9
2026-05-16 18:08:00,3.12,33.1,21.1,60.1,65.9
2026-05-16 18:08:15,3.12,30.1,20.9,60.1,65.8
