"Time","FT701","FT711","FT721","FT731","Power701","Power711","Power721","Power731","PsetPoint_701","PsetPoint_711","PsetPoint_721","PsetPoint_731","TT701","TT702","TT711","TT712","TT721","TT722","TT731","TT732","TsetPoint_701","TsetPoint_711","TsetPoint_721","TsetPoint_731","xPset_701","xPset_711","xPset_721","xPset_731","xTset_701","xTset_711","xTset_721","xTset_731"
2026-05-16 17:00:15,2.30,2.40,2.32,2.63,-31.6,-31.5,-31.7,-31.1,-32,-32,-32,-32,59.9,71.7,59.8,71.3,59.8,71.6,59.9,70.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:00:30,2.32,2.39,2.32,2.69,-31.6,-31.7,-31.6,-31.5,-32,-32,-32,-32,60.0,71.7,59.9,71.3,59.8,71.7,60.0,70.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:00:45,2.31,2.38,2.28,2.71,-31.5,-31.5,-31.4,-31.9,-32,-32,-32,-32,60.0,71.8,59.9,71.3,59.9,71.7,59.9,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:01:00,2.34,2.42,2.30,2.68,-31.5,-31.5,-31.4,-31.8,-32,-32,-32,-32,60.1,71.8,60.0,71.3,60.0,71.7,59.9,70.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:01:15,2.34,2.40,2.36,2.69,-31.7,-31.4,-31.6,-32.0,-32,-32,-32,-32,60.1,71.8,60.1,71.4,60.1,71.7,59.9,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:01:30,2.33,2.41,2.33,2.67,-31.7,-31.6,-31.5,-31.8,-32,-32,-32,-32,60.1,71.8,60.1,71.4,60.1,71.8,59.9,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:01:45,2.34,2.39,2.36,2.67,-31.7,-31.4,-31.7,-31.3,-32,-32,-32,-32,60.1,71.8,60.1,71.4,60.1,71.8,60.1,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:02:00,2.35,2.42,2.31,2.72,-31.6,-31.8,-31.7,-31.8,-32,-32,-32,-32,60.1,71.9,60.1,71.4,60.1,71.8,60.1,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:02:15,2.34,2.43,2.35,2.67,-31.9,-31.7,-31.6,-31.6,-32,-32,-32,-32,60.1,71.8,60.1,71.4,60.2,71.8,60.1,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:02:30,2.36,2.41,2.36,2.69,-32.0,-31.5,-31.9,-31.4,-32,-32,-32,-32,60.1,71.8,60.1,71.3,60.2,71.9,60.1,70.3,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:02:45,2.35,2.44,2.34,2.74,-31.8,-31.9,-31.7,-32.0,-32,-32,-32,-32,60.1,71.8,60.1,71.3,60.2,71.8,60.1,70.3,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:03:00,2.34,2.44,2.36,2.71,-31.7,-31.8,-31.9,-31.8,-32,-32,-32,-32,60.1,71.7,60.1,71.3,60.1,71.8,60.2,70.3,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:03:15,2.36,2.42,2.35,2.68,-31.7,-31.8,-31.8,-31.6,-32,-32,-32,-32,60.1,71.8,60.1,71.3,60.1,71.8,60.1,70.3,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:03:30,2.35,2.46,2.32,2.73,-31.7,-31.9,-31.9,-32.2,-32,-32,-32,-32,60.1,71.7,60.0,71.3,60.1,71.8,60.1,70.3,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:03:45,2.37,2.43,2.36,2.71,-31.9,-31.7,-31.9,-32.2,-32,-32,-32,-32,60.0,71.6,60.0,71.2,60.0,71.8,60.0,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:04:00,2.35,2.45,2.36,2.70,-31.9,-32.1,-32.4,-32.2,-32,-32,-32,-32,59.9,71.6,59.9,71.2,59.9,71.7,60.0,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:04:15,2.35,2.44,2.36,2.70,-32.2,-32.0,-32.1,-32.3,-32,-32,-32,-32,59.8,71.6,59.8,71.2,59.8,71.6,59.8,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:04:30,2.37,2.43,2.34,2.65,-32.3,-32.1,-32.2,-31.7,-32,-32,-32,-32,59.7,71.6,59.8,71.1,59.8,71.6,59.8,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:04:45,2.33,2.45,2.32,2.70,-32.2,-31.9,-32.0,-32.3,-32,-32,-32,-32,59.7,71.5,59.8,71.1,59.8,71.6,59.8,70.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:05:00,2.38,2.43,2.36,2.66,-32.2,-31.7,-32.0,-31.7,-32,-32,-32,-32,59.8,71.5,59.8,71.0,59.8,71.6,59.8,70.0,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:05:15,2.35,2.47,2.32,2.67,-31.9,-32.0,-31.6,-31.5,-32,-32,-32,-32,59.8,71.6,59.8,71.0,59.9,71.5,59.9,70.0,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:05:30,2.32,2.45,2.32,2.72,-31.7,-31.6,-31.6,-31.7,-32,-32,-32,-32,59.9,71.5,59.9,71.0,59.8,71.6,59.9,70.0,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:05:45,2.34,2.43,2.35,2.68,-31.5,-31.5,-31.7,-31.4,-32,-32,-32,-32,60.0,71.6,59.9,71.0,59.9,71.6,59.9,70.0,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:06:00,2.34,2.47,2.36,2.75,-31.5,-31.5,-31.8,-32.1,-32,-32,-32,-32,60.0,71.6,60.0,71.0,60.0,71.5,59.9,70.0,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:06:15,2.35,2.49,2.37,2.68,-31.6,-31.6,-31.5,-31.4,-32,-32,-32,-32,60.1,71.6,60.1,71.0,60.0,71.5,59.9,70.0,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:06:30,2.36,2.46,2.37,2.72,-31.5,-31.4,-31.5,-31.8,-32,-32,-32,-32,60.1,71.7,60.0,71.1,60.1,71.6,59.9,70.0,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:06:45,2.39,2.51,2.36,2.72,-31.8,-32.0,-31.6,-31.9,-32,-32,-32,-32,60.2,71.7,60.0,71.1,60.1,71.6,60.0,70.0,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:07:00,2.38,2.45,2.37,2.72,-31.7,-31.4,-31.8,-31.7,-32,-32,-32,-32,60.1,71.7,60.1,71.1,60.1,71.6,60.0,70.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:07:15,2.36,2.51,2.36,2.72,-31.8,-32.1,-31.4,-31.8,-32,-32,-32,-32,60.2,71.7,60.1,71.1,60.1,71.6,60.0,70.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:07:30,2.39,2.46,2.39,2.70,-31.8,-31.5,-31.8,-31.5,-32,-32,-32,-32,60.2,71.7,60.1,71.1,60.1,71.7,60.1,70.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:07:45,2.35,2.52,2.39,2.73,-31.8,-32.1,-31.9,-31.6,-32,-32,-32,-32,60.2,71.8,60.1,71.2,60.1,71.7,60.1,70.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:08:00,2.39,2.47,2.36,2.74,-31.9,-31.7,-31.5,-31.6,-32,-32,-32,-32,60.2,71.8,60.1,71.2,60.2,71.7,60.2,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:08:15,2.38,2.52,2.37,2.78,-31.9,-32.2,-31.7,-32.0,-32,-32,-32,-32,60.2,71.8,60.1,71.2,60.1,71.7,60.2,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:08:30,2.38,2.45,2.39,2.74,-31.7,-31.4,-32.0,-31.9,-32,-32,-32,-32,60.2,71.7,60.1,71.2,60.1,71.7,60.2,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:08:45,2.35,2.48,2.36,2.75,-31.8,-32.1,-31.7,-31.9,-32,-32,-32,-32,60.2,71.7,60.1,71.2,60.2,71.7,60.2,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-05-16 17:09:00,2.41,2.51,2.35,2.71,-32.1,-32.0,-31.3,-31.7,-32,-32,-32,-32,60.1,71.7,60.0,71.2,60.1,71.7,60.1,70.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
