"Time","T2","T3","TT101","TT102","TT102_set","TT201","TT202","TT203","TT204","TT205","TT206","TT207","TT208","TT209","TT210","TT301","TT302","TT302_set","TT303","TT304","TT305","TT306","TT307","TT401","TT402","TT402_set","TT501","TT502","TT503","TT504","TT601","TT602","TT603","TT604","TT605","TT606","TT701","TT702","TT703","TT704","TT711","TT712","TT713","TT714","TT721","TT722","TT723","TT724","TT731","TT732","TT733","TT734","TT801","TT901","TT902","TTA01","TTR01","TTR02","TTR03","TTR04","TTR05","TgasCHP"
2026-05-16 17:00:30,24.5,24.4,58.4,71.4,70,24.2,20.3,25.2,46.8,50.1,50.2,22.1,45.0,50.7,50.8,19.6,20.2,0,18.2,17.4,19.0,19.1,19.0,59.5,69.5,70,24.6,26.7,26.3,27.5,21.7,21.3,17.4,17.8,21.5,20.6,59.9,71.7,13.6,29.9,59.8,71.3,13.1,31.4,59.8,71.6,14.5,33.6,59.9,70.1,13.3,32.2,24.0,58.5,71.4,55.0,16.9,12.9,31.2,32.0,31.4,23.1
2026-05-16 17:01:00,24.5,24.4,58.3,71.4,70,24.2,20.3,25.2,46.8,50.2,50.2,22.1,45.0,50.7,50.8,19.6,20.2,0,18.2,17.5,19.0,19.1,19.0,59.6,69.5,70,24.7,26.7,26.3,27.5,21.7,21.3,17.4,17.8,21.5,20.6,60.1,71.8,13.7,30.1,60.0,71.3,13.3,31.8,60.0,71.7,14.7,33.9,59.9,70.2,13.4,32.2,24.0,58.6,71.5,55.0,17.2,13.1,31.4,32.4,31.4,23.0
2026-05-16 17:01:30,24.5,24.4,58.4,71.4,70,24.2,20.4,25.2,46.8,50.1,50.2,22.1,45.0,50.7,50.8,19.6,20.2,0,18.2,17.4,19.0,19.1,19.0,59.6,69.5,70,24.7,26.8,26.3,27.6,21.7,21.3,17.5,17.8,21.5,20.6,60.1,71.8,13.8,30.2,60.1,71.4,13.6,31.9,60.1,71.7,15.0,34.1,59.9,70.2,13.6,32.3,24.0,58.7,71.5,55.2,17.6,13.4,31.4,32.6,31.4,23.1
2026-05-16 17:02:00,24.5,24.4,58.4,71.4,70,24.3,20.4,25.2,46.8,50.2,50.2,22.1,45.0,50.7,50.8,19.6,20.2,0,18.2,17.5,19.0,19.1,19.0,59.6,69.5,70,24.7,26.8,26.4,27.6,21.7,21.3,17.4,17.8,21.5,20.6,60.1,71.8,14.0,30.2,60.1,71.4,13.9,31.9,60.1,71.8,15.2,34.1,60.1,70.2,13.8,32.5,24.1,58.8,71.5,55.2,17.9,13.7,31.6,32.6,31.4,23.1
2026-05-16 17:02:30,24.5,24.4,58.5,71.3,70,24.2,20.3,25.2,46.8,50.2,50.2,22.1,45.0,50.7,50.8,19.6,20.2,0,18.2,17.5,19.0,19.1,19.0,59.7,69.4,70,24.7,26.8,26.4,27.6,21.8,21.3,17.5,17.8,21.5,20.6,60.1,71.8,14.3,30.2,60.1,71.3,14.2,31.9,60.2,71.8,15.5,34.2,60.1,70.2,14.1,32.6,24.1,58.8,71.5,55.3,18.4,14.0,31.6,32.7,31.4,22.9
2026-05-16 17:03:00,24.5,24.4,58.6,71.2,70,24.3,20.3,25.2,46.8,50.1,50.2,22.1,45.0,50.7,50.8,19.6,20.2,0,18.2,17.5,19.0,19.2,19.0,59.8,69.4,70,24.8,26.8,26.4,27.7,21.8,21.3,17.4,17.8,21.5,20.6,60.1,71.8,14.6,30.3,60.1,71.3,14.6,32.0,60.2,71.8,15.8,34.2,60.1,70.3,14.3,32.7,24.1,58.9,71.4,55.3,18.6,14.2,31.7,32.7,31.4,23.0
2026-05-16 17:03:30,24.5,24.4,58.7,71.1,70,24.3,20.3,25.2,46.8,50.1,50.2,22.1,45.0,50.7,50.8,19.6,20.2,0,18.3,17.5,19.1,19.2,19.1,59.9,69.4,70,24.7,26.8,26.4,27.7,21.8,21.3,17.4,17.8,21.6,20.6,60.1,71.7,14.6,30.3,60.1,71.3,14.5,32.0,60.1,71.8,15.8,34.1,60.1,70.3,14.5,32.6,24.1,58.9,71.3,55.3,18.2,13.8,31.8,32.7,31.4,23.0
2026-05-16 17:04:00,24.5,24.4,58.7,71.2,70,24.3,20.3,25.2,46.8,50.2,50.2,22.1,45.0,50.7,50.8,19.6,20.3,0,18.2,17.5,19.1,19.2,19.1,59.9,69.3,70,24.8,26.8,26.4,27.7,21.8,21.3,17.5,17.8,21.6,20.6,60.0,71.6,14.4,29.9,59.9,71.2,13.9,31.6,59.9,71.7,15.2,33.7,60.0,70.2,14.1,32.4,24.1,58.9,71.2,55.3,17.3,13.1,31.5,32.2,31.4,22.9
2026-05-16 17:04:30,24.5,24.4,58.7,71.2,70,24.3,20.3,25.2,46.8,50.1,50.2,22.1,45.0,50.7,50.8,19.7,20.3,0,18.3,17.5,19.1,19.2,19.1,59.9,69.4,70,24.8,26.8,26.5,27.7,21.8,21.3,17.5,17.9,21.5,20.7,59.8,71.6,13.9,29.3,59.8,71.1,13.1,31.2,59.8,71.6,14.5,33.3,59.8,70.2,13.5,32.1,24.1,58.8,71.2,55.2,16.5,12.7,31.0,31.7,31.4,22.9
2026-05-16 17:05:00,24.5,24.4,58.7,71.3,70,24.3,20.4,25.2,46.8,50.1,50.2,22.1,45.0,50.7,50.8,19.7,20.3,0,18.3,17.5,19.1,19.2,19.1,59.8,69.4,70,24.8,26.8,26.4,27.8,21.8,21.3,17.5,17.8,21.5,20.6,59.8,71.5,13.6,29.3,59.8,71.0,12.8,31.2,59.8,71.6,14.3,33.3,59.8,70.1,13.2,32.1,24.1,58.6,71.2,55.1,16.4,12.6,30.8,31.5,31.4,22.9
