"Time","FT101","FT101_set","FT201","FT201_set","FT301","FT301_set","FT302","FT401","FT401_set","FT501","FT601","FT602","FT701","FT711","FT721","FT731","FT801","FT901","FTA12","FTR01","FTR03","QgasCHP"
2026-06-18 00:00:30,11.9,11.9,0.729,0.724,0,0,0,3.01,0.0279,0.0280,0,0.0161,3.24,4.18,3.41,3.87,7.11,14.4,0.341,24.3,14.7,0
2026-06-18 00:01:00,12.0,12.0,0.727,0.734,0,0,0,3.00,0.0278,0.0278,0,0.0161,3.23,4.18,3.43,3.90,7.11,14.5,0.360,24.1,14.9,0
2026-06-18 00:01:30,12.0,12.0,0.729,0.735,0,0,0,3.00,0.0279,0.0278,0,0.0160,3.22,4.19,3.44,3.89,7.04,14.5,0.343,23.9,15.2,0
2026-06-18 00:02:00,12.0,12.0,0.737,0.732,0,0,0,3.00,0.0275,0.0274,0,0.0163,3.21,4.18,3.46,3.87,6.94,14.5,0.277,23.7,15.4,0
2026-06-18 00:02:30,11.9,11.9,0.735,0.731,0,0,0,2.99,0.0276,0.0278,0,0.0165,3.20,4.16,3.49,3.83,6.90,14.4,0.386,23.3,15.9,0
2026-06-18 00:03:00,11.8,11.8,0.733,0.735,0,0,0,2.99,0.0275,0.0275,0,0.0167,3.15,4.14,3.49,3.81,7.03,14.3,0.378,22.9,16.4,0
2026-06-18 00:03:30,11.7,11.7,0.721,0.737,0,0,0,2.99,0.0273,0.0278,0,0.0167,3.17,4.12,3.43,3.78,7.04,14.2,0.375,22.6,16.9,0
2026-06-18 00:04:00,11.6,11.6,0.727,0.732,0,0,0,2.99,0.0279,0.0277,0,0.0169,3.14,4.09,3.40,3.75,7.05,14.2,0.328,22.3,17.1,0
2026-06-18 00:04:30,11.5,11.5,0.726,0.731,0,0,0,2.99,0.0274,0.0275,0,0.0169,3.13,4.06,3.38,3.73,7.03,14.1,0.404,22.1,17.4,0
2026-06-18 00:05:00,11.5,11.5,0.731,0.721,0,0,0,2.99,0.0278,0.0277,0,0.0166,3.13,4.02,3.35,3.68,7.13,14.0,0.384,22.1,17.5,0
2026-06-18 00:05:30,11.4,11.4,0.724,0.737,0,0,0,2.99,0.0276,0.0280,0,0.0168,3.13,4.02,3.36,3.69,7.14,14.0,0.385,22.2,17.4,0
2026-06-18 00:06:00,11.5,11.5,0.726,0.741,0,0,0,3.00,0.0276,0.0275,0,0.0171,3.13,4.02,3.35,3.71,7.14,14.0,0.402,22.5,17.0,0
2026-06-18 00:06:30,11.5,11.5,0.724,0.726,0,0,0,3.00,0.0276,0.0274,0,0.0170,3.17,4.01,3.42,3.69,7.15,14.1,0.349,22.9,16.5,0
