"Time","FT701","FT711","FT721","FT731","Power701","Power711","Power721","Power731","PsetPoint_701","PsetPoint_711","PsetPoint_721","PsetPoint_731","TT701","TT702","TT711","TT712","TT721","TT722","TT731","TT732","TsetPoint_701","TsetPoint_711","TsetPoint_721","TsetPoint_731","xPset_701","xPset_711","xPset_721","xPset_731","xTset_701","xTset_711","xTset_721","xTset_731"
2026-06-18 13:00:15,2.20,2.45,2.50,2.48,-31.8,-31.9,-32.0,-31.9,-32,-32,-32,-32,60.0,72.4,60.0,71.3,60.0,71.1,60.0,71.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:00:30,2.24,2.45,2.52,2.47,-31.9,-32.1,-32.2,-31.9,-32,-32,-32,-32,60.0,72.4,60.0,71.3,60.0,71.0,60.0,71.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:00:45,2.21,2.46,2.48,2.48,-32.0,-31.9,-31.8,-32.0,-32,-32,-32,-32,60.0,72.4,60.0,71.3,60.0,71.0,60.0,71.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:01:00,2.23,2.45,2.52,2.47,-31.9,-32.1,-32.1,-32.0,-32,-32,-32,-32,60.0,72.4,60.0,71.3,60.0,71.0,60.0,71.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:01:15,2.21,2.43,2.46,2.48,-32.2,-31.8,-31.8,-32.1,-32,-32,-32,-32,60.0,72.3,60.0,71.2,59.9,71.0,60.0,71.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:01:30,2.22,2.45,2.49,2.47,-31.9,-31.9,-31.8,-32.2,-32,-32,-32,-32,59.9,72.3,59.9,71.2,59.9,71.0,59.9,71.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:01:45,2.24,2.41,2.49,2.48,-32.0,-31.6,-31.8,-32.3,-32,-32,-32,-32,60.0,72.3,60.0,71.2,60.0,71.0,59.9,71.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:02:00,2.21,2.45,2.54,2.48,-31.8,-32.0,-32.2,-32.2,-32,-32,-32,-32,60.0,72.4,60.0,71.2,59.9,71.0,59.9,71.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:02:15,2.24,2.48,2.45,2.46,-32.0,-32.2,-31.7,-32.1,-32,-32,-32,-32,59.9,72.4,60.0,71.2,59.9,71.0,59.9,71.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:02:30,2.21,2.44,2.50,2.44,-31.9,-31.8,-32.0,-31.3,-32,-32,-32,-32,59.9,72.3,60.0,71.2,60.0,71.0,60.0,71.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:02:45,2.24,2.44,2.49,2.44,-31.7,-31.7,-31.7,-31.7,-32,-32,-32,-32,60.0,72.3,60.0,71.2,60.0,71.0,60.0,71.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:03:00,2.21,2.45,2.52,2.48,-31.8,-31.8,-32.0,-31.8,-32,-32,-32,-32,60.0,72.4,60.0,71.2,60.1,71.0,60.0,71.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:03:15,2.23,2.44,2.52,2.47,-31.6,-31.5,-31.8,-31.7,-32,-32,-32,-32,60.1,72.4,60.1,71.2,60.1,71.0,60.1,71.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:03:30,2.23,2.48,2.49,2.47,-31.7,-31.7,-31.6,-31.2,-32,-32,-32,-32,60.1,72.4,60.1,71.2,60.2,71.0,60.2,71.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:03:45,2.21,2.46,2.52,2.48,-31.6,-31.7,-31.6,-31.1,-32,-32,-32,-32,60.1,72.4,60.1,71.3,60.2,71.0,60.3,71.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:04:00,2.25,2.47,2.51,2.53,-31.7,-31.9,-31.7,-31.7,-32,-32,-32,-32,60.2,72.4,60.1,71.3,60.2,71.0,60.3,71.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:04:15,2.21,2.47,2.53,2.47,-31.6,-31.7,-32.0,-31.2,-32,-32,-32,-32,60.1,72.4,60.1,71.3,60.1,71.1,60.3,71.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:04:30,2.26,2.46,2.50,2.53,-31.9,-32.1,-31.9,-32.0,-32,-32,-32,-32,60.1,72.4,60.1,71.3,60.1,71.1,60.2,71.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:04:45,2.24,2.44,2.51,2.53,-32.2,-31.9,-32.1,-32.2,-32,-32,-32,-32,60.1,72.4,60.1,71.3,60.1,71.0,60.1,71.1,-60,-60,-60,-60,2,2,2,2,true,true,true,true
2026-06-18 13:05:00,2.23,2.48,2.51,2.50,-32.0,-32.3,-32.2,-32.0,-32,-32,-32,-32,60.1,72.4,60.0,71.3,60.1,71.1,60.1,71.2,-60,-60,-60,-60,2,2,2,2,true,true,true,true
