"Time","FT401","Pel_S400","Pth_S400","TT401","TT402"
2026-05-17 00:00:15,2.99,31.2,22.4,60.8,67.3
2026-05-17 00:00:30,3.00,32.3,22.7,60.8,67.4
2026-05-17 00:00:45,3.00,37.6,23.3,60.7,67.4
2026-05-17 00:01:00,2.99,36.2,23.6,60.7,67.5
2026-05-17 00:01:15,2.99,38.1,24.3,60.6,67.6
2026-05-17 00:01:30,3.01,40.2,24.8,60.6,67.7
2026-05-17 00:01:45,2.99,30.3,25.1,60.5,67.7
2026-05-17 00:02:00,3.00,40.5,25.6,60.5,67.8
2026-05-17 00:02:15,2.99,28.6,25.8,60.4,67.9
2026-05-17 00:02:30,3.00,31.8,25.9,60.5,67.9
2026-05-17 00:02:45,3.00,36.8,25.9,60.5,68.0
2026-05-17 00:03:00,3.00,42.8,26.0,60.5,68.0
2026-05-17 00:03:15,2.99,37.0,26.0,60.6,68.0
2026-05-17 00:03:30,2.99,35.4,26.0,60.6,68.1
2026-05-17 00:03:45,3.00,42.2,26.1,60.5,68.1
2026-05-17 00:04:00,3.00,42.4,26.3,60.5,68.1
2026-05-17 00:04:15,3.00,40.1,26.5,60.4,68.0
2026-05-17 00:04:30,2.99,30.6,26.8,60.3,68.1
2026-05-17 00:04:45,2.99,33.2,27.0,60.3,68.1
2026-05-17 00:05:00,2.99,38.0,27.3,60.3,68.1
2026-05-17 00:05:15,3.01,33.2,27.6,60.2,68.1
2026-05-17 00:05:30,3.00,33.5,27.8,60.2,68.1
2026-05-17 00:05:45,3.00,32.7,27.8,60.2,68.2
2026-05-17 00:06:00,3.00,37.6,27.8,60.2,68.2
2026-05-17 00:06:15,3.01,30.4,27.6,60.3,68.2
2026-05-17 00:06:30,3.00,26.7,27.2,60.4,68.2
2026-05-17 00:06:45,2.99,34.1,26.7,60.5,68.2
2026-05-17 00:07:00,3.00,39.8,26.2,60.7,68.2
2026-05-17 00:07:15,3.00,36.7,25.8,60.8,68.2
2026-05-17 00:07:30,2.99,33.9,25.5,60.8,68.1
2026-05-17 00:07:45,3.00,36.7,25.4,60.8,68.1
2026-05-17 00:08:00,3.00,36.6,25.5,60.8,68.1
2026-05-17 00:08:15,2.99,37.1,25.5,60.8,68.2
2026-05-17 00:08:30,3.00,34.6,25.8,60.8,68.2
2026-05-17 00:08:45,2.99,38.6,25.9,60.7,68.2
2026-05-17 00:09:00,3.00,36.8,26.3,60.7,68.3
2026-05-17 00:09:15,2.99,37.3,26.6,60.7,68.3
2026-05-17 00:09:30,3.01,42.5,27.0,60.6,68.4
2026-05-17 00:09:45,3.00,23.3,27.3,60.5,68.4
2026-05-17 00:10:00,2.99,31.8,27.7,60.5,68.5
2026-05-17 00:10:15,3.00,35.5,28.1,60.4,68.6
2026-05-17 00:10:30,2.99,35.4,28.3,60.4,68.6
2026-05-17 00:10:45,2.99,36.8,28.5,60.4,68.6
2026-05-17 00:11:00,3.00,36.9,28.5,60.4,68.6
2026-05-17 00:11:15,3.00,35.7,28.5,60.4,68.6
2026-05-17 00:11:30,2.99,39.2,28.5,60.4,68.6
2026-05-17 00:11:45,2.99,37.2,28.7,60.3,68.6
2026-05-17 00:12:00,3.00,37.5,28.7,60.3,68.6
2026-05-17 00:12:15,2.98,33.7,28.9,60.3,68.6
2026-05-17 00:12:30,2.96,36.6,28.8,60.2,68.6
2026-05-17 00:12:45,2.96,34.9,28.8,60.2,68.5
2026-05-17 00:13:00,2.97,35.1,28.7,60.1,68.5
2026-05-17 00:13:15,2.94,34.5,28.7,60.2,68.5
2026-05-17 00:13:30,2.94,30.6,28.6,60.1,68.5
2026-05-17 00:13:45,2.97,40.6,28.6,60.2,68.5
2026-05-17 00:14:00,2.94,39.1,28.2,60.2,68.5
2026-05-17 00:14:15,2.96,34.3,28.3,60.2,68.5
2026-05-17 00:14:30,2.95,36.0,28.2,60.2,68.5
2026-05-17 00:14:45,2.97,35.0,28.2,60.3,68.5
2026-05-17 00:15:00,2.96,36.1,28.1,60.2,68.5
2026-05-17 00:15:15,2.96,37.2,28.1,60.3,68.4
2026-05-17 00:15:30,2.95,38.3,27.9,60.3,68.5
2026-05-17 00:15:45,2.97,35.8,28.0,60.3,68.5
2026-05-17 00:16:00,2.96,43.7,27.9,60.4,68.5
2026-05-17 00:16:15,2.99,43.5,28.0,60.4,68.5
2026-05-17 00:16:30,2.97,33.6,27.9,60.4,68.5
2026-05-17 00:16:45,2.98,37.1,27.9,60.4,68.5
2026-05-17 00:17:00,2.99,37.7,27.9,60.4,68.5
2026-05-17 00:17:15,2.99,40.2,27.8,60.5,68.5
2026-05-17 00:17:30,3.00,33.3,27.9,60.5,68.5
2026-05-17 00:17:45,3.00,34.7,28.0,60.5,68.5
2026-05-17 00:18:00,3.00,37.3,28.2,60.4,68.5
2026-05-17 00:18:15,3.00,40.5,28.4,60.4,68.6
2026-05-17 00:18:30,2.99,43.1,28.5,60.4,68.6
2026-05-17 00:18:45,3.00,30.0,28.4,60.4,68.5
2026-05-17 00:19:00,3.00,35.2,28.5,60.4,68.6
2026-05-17 00:19:15,3.00,34.1,28.4,60.4,68.6
2026-05-17 00:19:30,3.00,34.7,28.4,60.4,68.6
2026-05-17 00:19:45,3.01,35.5,28.3,60.5,68.6
2026-05-17 00:20:00,2.99,31.9,28.1,60.5,68.6
2026-05-17 00:20:15,3.00,39.8,28.1,60.5,68.6
2026-05-17 00:20:30,3.00,35.1,28.1,60.5,68.6
2026-05-17 00:20:45,3.00,42.4,28.2,60.5,68.6
2026-05-17 00:21:00,3.00,33.7,28.2,60.5,68.6
2026-05-17 00:21:15,3.00,35.7,28.1,60.5,68.6
2026-05-17 00:21:30,3.00,33.8,28.0,60.6,68.6
2026-05-17 00:21:45,3.00,34.4,27.9,60.6,68.6
2026-05-17 00:22:00,2.99,38.5,28.0,60.6,68.7
2026-05-17 00:22:15,3.00,36.3,28.2,60.6,68.7
2026-05-17 00:22:30,3.00,35.3,28.2,60.6,68.7
2026-05-17 00:22:45,3.01,35.7,28.3,60.6,68.7
2026-05-17 00:23:00,3.00,46.1,28.5,60.5,68.7
2026-05-17 00:23:15,3.00,29.1,28.5,60.5,68.7
2026-05-17 00:23:30,3.00,43.8,28.7,60.5,68.8
2026-05-17 00:23:45,3.00,40.6,28.7,60.5,68.8
2026-05-17 00:24:00,3.00,34.4,28.8,60.5,68.8
2026-05-17 00:24:15,2.98,27.0,28.6,60.5,68.8
2026-05-17 00:24:30,2.98,35.5,28.8,60.5,68.8
2026-05-17 00:24:45,2.99,32.0,29.0,60.4,68.8
2026-05-17 00:25:00,2.98,35.5,29.2,60.3,68.8
2026-05-17 00:25:15,2.98,40.5,29.4,60.3,68.8
2026-05-17 00:25:30,2.99,29.4,29.3,60.4,68.8
2026-05-17 00:25:45,2.98,32.0,29.2,60.4,68.8
2026-05-17 00:26:00,2.99,39.0,29.1,60.4,68.8
2026-05-17 00:26:15,2.98,40.6,29.0,60.4,68.8
2026-05-17 00:26:30,2.97,37.3,28.7,60.5,68.8
2026-05-17 00:26:45,2.99,37.0,28.6,60.5,68.7
2026-05-17 00:27:00,3.00,31.9,28.7,60.5,68.8
2026-05-17 00:27:15,2.98,35.5,28.5,60.5,68.7
2026-05-17 00:27:30,3.00,37.1,28.7,60.4,68.7
2026-05-17 00:27:45,2.97,43.2,28.6,60.5,68.7
2026-05-17 00:28:00,3.00,39.4,28.6,60.5,68.7
2026-05-17 00:28:15,2.99,40.0,28.5,60.5,68.7
2026-05-17 00:28:30,3.00,35.8,28.5,60.5,68.7
2026-05-17 00:28:45,3.01,35.9,28.3,60.6,68.7
2026-05-17 00:29:00,3.00,36.8,28.3,60.6,68.7
2026-05-17 00:29:15,3.00,29.7,28.3,60.6,68.7
2026-05-17 00:29:30,2.99,39.6,28.3,60.6,68.7
2026-05-17 00:29:45,3.00,34.8,28.4,60.6,68.7
2026-05-17 00:30:00,2.99,34.3,28.4,60.5,68.8
2026-05-17 00:30:15,3.00,40.6,28.7,60.5,68.8
2026-05-17 00:30:30,3.01,42.2,28.9,60.4,68.8
2026-05-17 00:30:45,3.00,36.0,29.1,60.4,68.7
2026-05-17 00:31:00,3.01,36.4,29.2,60.4,68.8
2026-05-17 00:31:15,3.00,29.7,29.1,60.4,68.8
2026-05-17 00:31:30,3.01,39.6,29.1,60.4,68.8
2026-05-17 00:31:45,3.00,30.0,29.0,60.5,68.8
2026-05-17 00:32:00,2.98,36.5,28.8,60.5,68.8
2026-05-17 00:32:15,2.99,38.7,28.7,60.5,68.8
2026-05-17 00:32:30,3.00,34.8,28.8,60.5,68.8
2026-05-17 00:32:45,3.00,39.2,28.8,60.5,68.8
2026-05-17 00:33:00,2.98,40.9,28.8,60.5,68.8
2026-05-17 00:33:15,2.98,36.5,28.6,60.4,68.8
2026-05-17 00:33:30,2.99,37.8,28.7,60.5,68.8
2026-05-17 00:33:45,2.97,37.3,28.6,60.5,68.8
2026-05-17 00:34:00,2.97,31.5,28.7,60.5,68.8
2026-05-17 00:34:15,2.98,37.2,28.6,60.5,68.8
2026-05-17 00:34:30,2.98,36.8,28.6,60.5,68.8
2026-05-17 00:34:45,2.98,37.0,28.6,60.5,68.8
2026-05-17 00:35:00,2.97,42.2,28.6,60.5,68.8
2026-05-17 00:35:15,2.97,39.0,28.6,60.5,68.8
2026-05-17 00:35:30,2.95,45.4,28.5,60.5,68.8
2026-05-17 00:35:45,2.96,37.4,28.5,60.5,68.8
2026-05-17 00:36:00,2.95,38.3,28.5,60.5,68.8
2026-05-17 00:36:15,2.93,34.0,28.5,60.4,68.8
2026-05-17 00:36:30,2.94,36.5,28.7,60.3,68.8
2026-05-17 00:36:45,2.96,33.7,29.0,60.3,68.8
2026-05-17 00:37:00,2.93,32.6,29.0,60.3,68.8
2026-05-17 00:37:15,2.93,33.6,29.0,60.3,68.8
2026-05-17 00:37:30,2.95,39.8,29.0,60.3,68.8
2026-05-17 00:37:45,2.93,37.4,29.0,60.3,68.9
2026-05-17 00:38:00,2.95,33.9,29.1,60.3,68.8
2026-05-17 00:38:15,2.95,38.6,29.1,60.3,68.8
2026-05-17 00:38:30,2.94,35.8,29.1,60.3,68.8
2026-05-17 00:38:45,2.94,38.6,28.9,60.4,68.8
2026-05-17 00:39:00,2.94,41.7,28.6,60.4,68.8
2026-05-17 00:39:15,2.95,40.1,28.5,60.5,68.8
2026-05-17 00:39:30,2.95,43.7,28.4,60.5,68.8
2026-05-17 00:39:45,2.94,39.8,28.3,60.5,68.8
2026-05-17 00:40:00,2.95,38.4,28.3,60.4,68.8
2026-05-17 00:40:15,2.95,44.1,28.4,60.4,68.7
2026-05-17 00:40:30,2.94,40.1,28.4,60.4,68.7
2026-05-17 00:40:45,2.95,45.5,28.5,60.4,68.8
2026-05-17 00:41:00,2.94,40.6,28.6,60.4,68.7
2026-05-17 00:41:15,2.95,41.2,28.5,60.4,68.7
2026-05-17 00:41:30,2.95,35.3,28.5,60.4,68.8
2026-05-17 00:41:45,2.96,32.8,28.6,60.4,68.8
2026-05-17 00:42:00,2.97,39.9,28.8,60.4,68.8
2026-05-17 00:42:15,2.95,38.8,28.9,60.3,68.8
2026-05-17 00:42:30,2.98,34.6,29.1,60.3,68.8
2026-05-17 00:42:45,2.96,30.0,29.2,60.3,68.8
2026-05-17 00:43:00,2.97,32.7,29.1,60.3,68.8
2026-05-17 00:43:15,2.96,42.9,29.0,60.3,68.8
2026-05-17 00:43:30,2.97,42.5,28.8,60.4,68.7
2026-05-17 00:43:45,2.96,37.6,28.6,60.4,68.8
2026-05-17 00:44:00,2.98,35.9,28.6,60.4,68.8
2026-05-17 00:44:15,2.94,24.4,28.2,60.5,68.8
2026-05-17 00:44:30,2.94,31.8,28.2,60.5,68.8
2026-05-17 00:44:45,2.93,35.2,28.4,60.4,68.8
2026-05-17 00:45:00,2.94,31.8,28.5,60.4,68.8
2026-05-17 00:45:15,2.93,31.8,28.4,60.3,68.7
2026-05-17 00:45:30,2.91,35.0,28.1,60.4,68.6
2026-05-17 00:45:45,2.92,32.2,28.0,60.4,68.6
2026-05-17 00:46:00,2.92,28.3,27.9,60.3,68.5
2026-05-17 00:46:15,2.93,27.9,27.8,60.3,68.5
2026-05-17 00:46:30,2.92,34.6,27.5,60.3,68.4
2026-05-17 00:46:45,2.92,26.7,27.3,60.3,68.3
2026-05-17 00:47:00,2.94,28.0,27.2,60.3,68.3
2026-05-17 00:47:15,2.93,29.1,27.0,60.3,68.3
2026-05-17 00:47:30,2.93,31.5,26.9,60.3,68.2
2026-05-17 00:47:45,2.94,25.6,26.7,60.3,68.1
2026-05-17 00:48:00,2.96,30.3,26.6,60.3,68.1
2026-05-17 00:48:15,2.96,30.0,26.4,60.3,68.0
2026-05-17 00:48:30,2.97,27.8,26.3,60.3,67.9
2026-05-17 00:48:45,2.99,26.9,26.3,60.3,67.9
2026-05-17 00:49:00,3.01,32.2,26.3,60.2,67.7
