"Time","FT101","FT101_set","FT201","FT201_set","FT301","FT301_set","FT302","FT401","FT401_set","FT501","FT601","FT602","FT701","FT711","FT721","FT731","FT801","FT901","FTA12","FTR01","FTR03","QgasCHP"
2026-05-17 00:00:30,9.79,9.79,0.991,0.993,0,0,0,2.99,0.0169,0.0171,0.00380,0,2.95,3.10,3.10,3.34,7.28,12.4,0.359,29.3,20,0
2026-05-17 00:01:00,9.72,9.72,0.989,0.986,0,0,0,3.00,0.0171,0.0170,0.00354,0,2.94,3.09,3.07,3.32,7.24,12.3,0.371,29.1,20,0
2026-05-17 00:01:30,9.65,9.66,0.996,0.995,0,0,0,3.00,0.0175,0.0169,0.00403,0,2.91,3.08,3.05,3.32,7.29,12.3,0.325,29.1,20,0
2026-05-17 00:02:00,9.61,9.60,0.995,0.987,0,0,0,2.99,0.0168,0.0170,0.00412,0,2.89,3.05,3.03,3.31,7.26,12.2,0.394,29.1,20,0
2026-05-17 00:02:30,9.54,9.53,0.992,0.993,0,0,0,2.99,0.0173,0.0167,0.00363,0,2.88,3.04,3.01,3.29,7.22,12.1,0.424,29.1,20,0
2026-05-17 00:03:00,9.47,9.47,0.986,0.991,0,0,0,3.00,0.0169,0.0170,0.00392,0,2.84,3.01,3.00,3.30,7.27,12.1,0.326,29.1,20,0
2026-05-17 00:03:30,9.34,9.34,0.985,0.986,0,0,0,2.99,0.0170,0.0170,0.00365,0,2.83,2.98,2.96,3.25,7.28,12.0,0.401,28.8,20,0
2026-05-17 00:04:00,9.22,9.21,0.989,0.988,0,0,0,3.00,0.0166,0.0169,0.00387,0,2.77,2.98,2.93,3.21,7.29,11.8,0.348,28.5,20,0
2026-05-17 00:04:30,9.03,9.01,0.994,0.989,0,0,0,2.99,0.0166,0.0172,0.00372,0,2.73,2.91,2.88,3.16,7.22,11.6,0.336,28.4,20,0
2026-05-17 00:05:00,8.88,8.88,0.989,0.990,0,0,0,2.99,0.0170,0.0171,0.00378,0,2.72,2.90,2.83,3.09,7.22,11.5,0.367,28.3,20,0
2026-05-17 00:05:30,8.88,8.88,0.992,0.989,0,0,0,3.00,0.0172,0.0169,0.00376,0,2.70,2.90,2.87,3.10,7.23,11.5,0.369,28.5,20,0
2026-05-17 00:06:00,8.93,8.92,0.990,0.995,0,0,0,3.00,0.0169,0.0161,0.00387,0,2.72,2.90,2.85,3.13,7.23,11.5,0.351,29.1,20,0
2026-05-17 00:06:30,9.05,9.07,1.000,0.988,0,0,0,3.00,0.0166,0.0171,0.00396,0,2.75,2.94,2.91,3.16,7.21,11.7,0.358,29.4,20,0
2026-05-17 00:07:00,9.14,9.14,1.000,0.986,0,0,0,3.00,0.0172,0.0163,0.00450,0,2.79,2.94,2.90,3.18,7.15,11.8,0.338,29.5,20,0
2026-05-17 00:07:30,9.13,9.12,1.00,0.994,0,0,0,3.00,0.0172,0.0161,0.00441,0,2.78,2.95,2.91,3.17,7.21,11.8,0.357,29.6,20,0
2026-05-17 00:08:00,9.11,9.11,0.989,0.984,0,0,0,3.00,0.0166,0.0168,0.00414,0,2.77,2.93,2.91,3.18,7.16,11.7,0.397,29.6,20,0
2026-05-17 00:08:30,9.06,9.05,0.989,0.995,0,0,0,2.99,0.0173,0.0171,0.00401,0,2.77,2.91,2.88,3.16,7.15,11.7,0.367,29.6,20,0
2026-05-17 00:09:00,8.97,8.97,0.994,0.994,0,0,0,2.99,0.0164,0.0170,0.00419,0,2.75,2.92,2.86,3.11,7.18,11.6,0.332,29.5,20,0
2026-05-17 00:09:30,8.92,8.93,0.991,0.989,0,0,0,3.00,0.0167,0.0164,0.00450,0,2.75,2.91,2.85,3.10,7.14,11.6,0.358,29.2,20,0
2026-05-17 00:10:00,8.87,8.86,0.993,0.994,0,0,0,2.99,0.0168,0.0166,0.00401,0,2.73,2.88,2.83,3.10,7.12,11.5,0.348,29.0,20,0
2026-05-17 00:10:30,8.81,8.82,0.994,0.992,0,0,0,3.00,0.0168,0.0171,0.00405,0,2.71,2.87,2.82,3.08,7.10,11.5,0.367,29.0,20,0
2026-05-17 00:11:00,8.73,8.74,0.989,0.999,0,0,0,2.99,0.0169,0.0170,0.00472,0,2.69,2.84,2.82,3.05,7.08,11.4,0.364,28.8,20,0
2026-05-17 00:11:30,8.63,8.62,0.997,1.00,0,0,0,2.99,0.0168,0.0169,0.00416,0,2.67,2.80,2.75,3.05,7.10,11.3,0.410,28.6,20,0
2026-05-17 00:12:00,8.50,8.49,0.989,1.000,0,0,0,3.00,0.0167,0.0169,0.00405,0,2.62,2.80,2.75,2.97,7.07,11.1,0.381,28.4,20,0
2026-05-17 00:12:30,8.38,8.40,0.999,0.991,0,0,0,2.97,0.0169,0.0164,0.00394,0,2.59,2.75,2.73,2.96,6.99,11.0,0.426,28.3,20,0
2026-05-17 00:13:00,8.34,8.33,0.991,0.999,0,0,0,2.97,0.0171,0.0172,0.00425,0,2.58,2.74,2.69,2.96,6.97,11.0,0.388,28.3,20,0
2026-05-17 00:13:30,8.25,8.24,0.995,0.998,0,0,0,2.94,0.0168,0.0169,0.00398,0,2.55,2.70,2.67,2.92,6.97,10.9,0.391,28.2,20,0
2026-05-17 00:14:00,8.30,8.30,0.997,1.00,0,0,0,2.96,0.0164,0.0168,0.00434,0,2.56,2.73,2.69,2.93,6.90,10.9,0.378,28.1,20,0
2026-05-17 00:14:30,8.29,8.30,0.997,0.994,0,0,0,2.96,0.0167,0.0166,0.00432,0,2.58,2.72,2.69,2.91,6.82,10.9,0.403,28.1,20,0
2026-05-17 00:15:00,8.31,8.33,0.995,0.993,0,0,0,2.96,0.0166,0.0164,0.00383,0,2.57,2.74,2.71,2.93,6.85,10.9,0.395,28.1,20,0
2026-05-17 00:15:30,8.31,8.31,0.988,0.993,0,0,0,2.96,0.0166,0.0165,0.00439,0,2.58,2.73,2.69,2.94,6.89,10.9,0.367,28.1,20,0
2026-05-17 00:16:00,8.37,8.36,0.999,0.997,0,0,0,2.97,0.0170,0.0170,0.00414,0,2.60,2.75,2.73,2.93,6.95,11.0,0.367,28.1,20,0
2026-05-17 00:16:30,8.43,8.43,0.999,0.995,0,0,0,2.98,0.0166,0.0162,0.00385,0,2.62,2.77,2.72,2.97,7.00,11.1,0.316,28.1,20,0
2026-05-17 00:17:00,8.44,8.44,0.987,1.00,0,0,0,2.98,0.0166,0.0166,0.00430,0,2.62,2.78,2.74,2.95,7.07,11.1,0.390,28.2,20,0
2026-05-17 00:17:30,8.48,8.48,0.989,0.993,0,0,0,2.99,0.0166,0.0166,0.00463,0,2.66,2.79,2.73,2.96,7.09,11.1,0.309,28.0,20,0
2026-05-17 00:18:00,8.52,8.52,1.000,1.000,0,0,0,3.00,0.0167,0.0169,0.00425,0,2.66,2.78,2.76,2.98,7.09,11.2,0.378,28.0,20,0
2026-05-17 00:18:30,8.60,8.60,1.000,0.997,0,0,0,3.00,0.0167,0.0169,0.00414,0,2.68,2.81,2.77,3.01,7.09,11.2,0.394,28.1,20,0
2026-05-17 00:19:00,8.63,8.64,0.999,1.00,0,0,0,3.00,0.0167,0.0171,0.00405,0,2.70,2.82,2.78,3.00,7.03,11.3,0.378,28.2,20,0
2026-05-17 00:19:30,8.67,8.66,0.992,1.01,0,0,0,3.00,0.0164,0.0169,0.00405,0,2.70,2.81,2.78,3.03,6.98,11.3,0.392,28.4,20,0
2026-05-17 00:20:00,8.65,8.66,1.00,0.995,0,0,0,3.00,0.0169,0.0168,0.00443,0,2.70,2.81,2.80,3.01,6.93,11.3,0.341,28.4,20,0
2026-05-17 00:20:30,8.65,8.65,0.994,0.999,0,0,0,3.00,0.0170,0.0172,0.00414,0,2.69,2.82,2.81,3.01,6.97,11.3,0.353,28.4,20,0
2026-05-17 00:21:00,8.64,8.64,0.999,0.997,0,0,0,3.00,0.0159,0.0163,0.00481,0,2.67,2.81,2.80,3.04,6.97,11.3,0.415,28.6,20,0
2026-05-17 00:21:30,8.61,8.60,0.998,0.995,0,0,0,3.00,0.0164,0.0165,0.00452,0,2.67,2.79,2.78,3.02,6.99,11.2,0.378,28.6,20,0
2026-05-17 00:22:00,8.58,8.57,1.00,1.000,0,0,0,2.99,0.0168,0.0164,0.00454,0,2.65,2.79,2.79,3.02,6.99,11.2,0.403,28.6,20,0
2026-05-17 00:22:30,8.54,8.55,1.00,0.994,0,0,0,3.00,0.0169,0.0167,0.00427,0,2.66,2.79,2.78,2.99,6.96,11.2,0.344,28.5,20,0
