"Time","Pel_CHP","Power100","Power200","Power300","Power400","Power500","Power600","Power701","Power711","Power721","Power731","Power900","PowerChiller"
2026-05-17 00:00:30,0,114,0.500,0,22.5,0.00918,-0.00222,-32.1,-32.1,-32.5,-32.3,131,-166
2026-05-17 00:01:00,0,114,0.508,0,23.4,0.00892,-0.00214,-32.4,-32.1,-32.4,-32.1,132,-162
2026-05-17 00:01:30,0,115,0.519,0,24.5,0.00892,-0.00210,-32.2,-32.2,-32.4,-32.2,133,-157
2026-05-17 00:02:00,0,116,0.528,0,25.3,0.00866,-0.00211,-32.6,-32.3,-32.3,-32.0,134,-156
2026-05-17 00:02:30,0,116,0.536,0,25.8,0.00869,-0.00217,-32.6,-32.4,-32.3,-31.9,135,-156
2026-05-17 00:03:00,0,115,0.530,0,25.9,0.00854,-0.00219,-32.6,-32.5,-32.7,-32.8,135,-150
2026-05-17 00:03:30,0,113,0.527,0,26.0,0.00885,-0.00228,-33.1,-32.6,-33.0,-33.1,134,-140
2026-05-17 00:04:00,0,112,0.521,0,26.2,0.00920,-0.00221,-32.9,-33.0,-33.1,-33.2,135,-129
2026-05-17 00:04:30,0,111,0.518,0,26.6,0.00904,-0.00220,-32.7,-32.4,-32.9,-33.0,134,-122
2026-05-17 00:05:00,0,111,0.504,0,27.1,0.00896,-0.00228,-32.3,-32.3,-32.2,-32.3,133,-131
2026-05-17 00:05:30,0,113,0.532,0,27.7,0.00892,-0.00227,-31.6,-31.8,-31.6,-31.7,134,-151
2026-05-17 00:06:00,0,115,0.525,0,27.8,0.00876,-0.00238,-31.0,-31.3,-31.1,-31.3,134,-182
2026-05-17 00:06:30,0,116,0.538,0,27.4,0.00886,-0.00231,-31.1,-31.5,-31.4,-31.2,133,-191
2026-05-17 00:07:00,0,115,0.527,0,26.4,0.00906,-0.00235,-31.6,-31.8,-31.8,-31.6,132,-187
2026-05-17 00:07:30,0,112,0.544,0,25.7,0.00898,-0.00230,-32.1,-32.1,-32.0,-31.9,131,-180
2026-05-17 00:08:00,0,110,0.552,0,25.4,0.00877,-0.00224,-32.2,-32.1,-32.4,-32.4,131,-174
2026-05-17 00:08:30,0,110,0.554,0,25.6,0.00850,-0.00240,-32.2,-32.2,-32.4,-32.6,130,-168
2026-05-17 00:09:00,0,110,0.551,0,26.1,0.00858,-0.00244,-32.3,-32.3,-32.4,-32.3,130,-163
2026-05-17 00:09:30,0,111,0.542,0,26.8,0.00861,-0.00232,-32.5,-32.5,-32.3,-32.2,132,-156
2026-05-17 00:10:00,0,112,0.542,0,27.5,0.00846,-0.00237,-32.2,-32.4,-32.2,-32.1,134,-153
2026-05-17 00:10:30,0,113,0.546,0,28.2,0.00850,-0.00229,-32.2,-32.5,-32.2,-32.2,135,-146
2026-05-17 00:11:00,0,113,0.573,0,28.5,0.00878,-0.00241,-32.6,-32.6,-32.7,-32.5,135,-137
2026-05-17 00:11:30,0,112,0.553,0,28.5,0.00854,-0.00234,-32.9,-32.7,-32.6,-33.0,135,-129
2026-05-17 00:12:00,0,111,0.554,0,28.7,0.00838,-0.00239,-33.0,-32.8,-32.8,-32.7,135,-123
2026-05-17 00:12:30,0,110,0.551,0,28.8,0.00836,-0.00226,-32.6,-32.5,-32.6,-32.6,135,-124
2026-05-17 00:13:00,0,110,0.551,0,28.8,0.00859,-0.00224,-32.3,-32.3,-32.1,-32.6,134,-129
2026-05-17 00:13:30,0,110,0.559,0,28.6,0.00864,-0.00234,-32.0,-32.0,-32.1,-31.9,133,-132
2026-05-17 00:14:00,0,110,0.565,0,28.4,0.00839,-0.00235,-31.8,-32.0,-31.9,-32.0,133,-136
2026-05-17 00:14:30,0,110,0.567,0,28.3,0.00828,-0.00242,-31.7,-31.9,-31.8,-31.8,132,-139
2026-05-17 00:15:00,0,109,0.561,0,28.2,0.00826,-0.00236,-31.6,-31.6,-31.7,-31.8,131,-141
2026-05-17 00:15:30,0,108,0.571,0,28.0,0.00839,-0.00259,-31.5,-31.5,-31.6,-31.8,130,-142
2026-05-17 00:16:00,0,107,0.570,0,28.0,0.00842,-0.00258,-31.6,-31.6,-31.7,-31.5,129,-142
2026-05-17 00:16:30,0,107,0.586,0,28.0,0.00836,-0.00254,-31.4,-31.5,-31.6,-31.6,129,-144
2026-05-17 00:17:00,0,107,0.597,0,27.9,0.00807,-0.00271,-31.4,-31.6,-31.5,-31.6,129,-146
